iter	Passed	Remaining
0	92	18370
1	119	11831
2	146	9628
3	174	8567
4	202	7907
5	229	7429
6	257	7101
7	285	6854
8	313	6660
9	340	6477
10	369	6355
11	398	6249
12	428	6161
13	456	6068
14	484	5977
15	515	5927
16	542	5837
17	571	5782
18	599	5713
19	626	5639
20	654	5579
21	681	5514
22	708	5455
23	735	5390
24	760	5325
25	788	5276
26	816	5229
27	842	5174
28	871	5138
29	898	5091
30	925	5045
31	952	5001
32	980	4960
33	1007	4918
34	1033	4872
35	1061	4837
36	1088	4796
37	1115	4756
38	1145	4727
39	1178	4715
40	1207	4684
41	1234	4643
42	1261	4607
43	1289	4572
44	1317	4536
45	1345	4505
46	1373	4471
47	1416	4486
48	1472	4538
49	1523	4569
50	1551	4533
51	1578	4493
52	1605	4453
53	1632	4414
54	1657	4370
55	1683	4330
56	1711	4293
57	1737	4254
58	1764	4217
59	1791	4179
60	1819	4145
61	1846	4110
62	1873	4074
63	1901	4040
64	1926	4001
65	1954	3969
66	1982	3935
67	2010	3901
68	2060	3912
69	2091	3884
70	2140	3888
71	2185	3884
72	2228	3876
73	2256	3842
74	2283	3806
75	2310	3770
76	2337	3734
77	2365	3699
78	2392	3665
79	2419	3628
80	2446	3593
81	2474	3560
82	2500	3525
83	2526	3489
84	2555	3456
85	2584	3426
86	2613	3394
87	2642	3363
88	2670	3330
89	2701	3301
90	2727	3267
91	2755	3234
92	2781	3200
93	2808	3167
94	2835	3133
95	2861	3099
96	2886	3064
97	2913	3032
98	2940	3000
99	2967	2967
100	2992	2933
101	3020	2901
102	3048	2870
103	3076	2839
104	3105	2809
105	3132	2777
106	3158	2745
107	3184	2713
108	3210	2680
109	3236	2647
110	3264	2617
111	3292	2586
112	3319	2555
113	3346	2524
114	3374	2494
115	3400	2462
116	3427	2431
117	3454	2400
118	3479	2368
119	3506	2337
120	3535	2308
121	3560	2276
122	3588	2246
123	3614	2215
124	3641	2185
125	3670	2155
126	3696	2124
127	3724	2094
128	3752	2065
129	3778	2034
130	3806	2004
131	3835	1975
132	3861	1945
133	3889	1915
134	3915	1885
135	3946	1857
136	3974	1827
137	4001	1797
138	4028	1767
139	4055	1737
140	4081	1707
141	4110	1678
142	4136	1648
143	4162	1618
144	4192	1590
145	4221	1561
146	4249	1532
147	4276	1502
148	4303	1473
149	4330	1443
150	4356	1413
151	4384	1384
152	4412	1355
153	4440	1326
154	4468	1297
155	4496	1268
156	4524	1239
157	4551	1209
158	4578	1180
159	4608	1152
160	4637	1123
161	4665	1094
162	4691	1065
163	4751	1043
164	4794	1017
165	4831	989
166	4873	963
167	4909	935
168	4944	907
169	4982	879
170	5049	856
171	5093	829
172	5132	800
173	5161	771
174	5201	743
175	5235	713
176	5265	684
177	5296	654
178	5325	624
179	5352	594
180	5382	565
181	5409	534
182	5436	504
183	5465	475
184	5492	445
185	5520	415
186	5550	385
187	5577	356
188	5606	326
189	5636	296
190	5663	266
191	5689	237
192	5715	207
193	5742	177
194	5770	147
195	5799	118
196	5826	88
197	5853	59
198	5881	29
199	5907	0
