feature,importance
emd_price,20.510423358146948
travel_span_hours,8.212210827938083
FARE_YQ_TICKET,6.8608849301896235
DTD,6.814359184454197
MARKET,6.605342404130061
stay_length_days,5.617165257101018
FLIGHT_TYPE,4.527124302230679
stay_bucket,3.8919883910209103
ADULTS,3.836649442384674
HOUR_OF_THE_DAY_PL_TIME,3.1543176595334543
BROWSER_TYPE,2.9571184434702205
first_rbd,2.8203932488158676
destination_prefix,2.4610883179873357
FIRST_TOUCH_CHANNEL,2.4482637324700027
dtd_bucket,2.430867678247185
origin_prefix,2.3872406116617246
LAST_TOUCH_CHANNEL,2.0203170317574477
pax_total,1.9491419070149254
display_position,1.676629683677453
LANGUAGE,1.6580076252103138
segment_count,1.2030714541644072
fare_bucket,1.116820677826539
route_direction,0.8795839899027151
destination_area,0.6528607720134018
origin_area,0.5425591731324171
first_booking_class,0.508205545306556
has_loyalty,0.4560803193718896
is_hub_caj_route,0.4380659358095797
LOGIN_STATUS,0.2657490237012984
has_teenager,0.2646007188902464
is_logged_in,0.21739585031690192
CHILDREN,0.19348065666802822
has_child_or_infant,0.16766580577341025
TEENAGERS,0.14365181140362862
has_connection,0.11067422827680568
product,0.0
INFANTS,0.0
