feature,importance
emd_price,18.57040488970596
FARE_YQ_TICKET,9.017770626000866
travel_span_hours,7.032118075475174
stay_length_days,6.767948599781598
DTD,6.487289715466663
destination_prefix,5.384172123418543
MARKET,4.3970406011498575
stay_bucket,3.4802184855178813
first_rbd,3.3754862895272035
HOUR_OF_THE_DAY_PL_TIME,3.3511345622151314
display_position,3.243317340320472
pax_total,3.0921564782307205
LANGUAGE,2.5110801721268334
origin_prefix,2.4633633927037066
ADULTS,2.100816289711639
BROWSER_TYPE,1.8279779456304923
FLIGHT_TYPE,1.7969347862490461
segment_count,1.6647761500735374
route_direction,1.632534434185669
FIRST_TOUCH_CHANNEL,1.619857135168344
is_hub_caj_route,1.5438108849913594
dtd_bucket,1.4512832383076353
origin_area,1.2789770676027588
LAST_TOUCH_CHANNEL,1.1294765761466812
destination_area,1.0984909580325903
fare_bucket,0.8678702528870534
first_booking_class,0.6258950467844493
has_loyalty,0.5119704441213014
is_logged_in,0.3990336883361636
LOGIN_STATUS,0.28596077788865765
TEENAGERS,0.2562828309309962
has_connection,0.21522195413782336
INFANTS,0.17385063431109288
has_child_or_infant,0.13323441753956095
CHILDREN,0.1302263942069041
has_teenager,0.08201674111565094
product,0.0
