DTD,FARE_YQ_TICKET,stay_length_days,pax_total,ADULTS,TEENAGERS,CHILDREN,INFANTS,has_child_or_infant,has_teenager,is_logged_in,has_loyalty,segment_count,has_connection,travel_span_hours,HOUR_OF_THE_DAY_PL_TIME,emd_price,display_position,is_hub_caj_route,product,MARKET,LANGUAGE,FLIGHT_TYPE,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,LOGIN_STATUS,origin_area,destination_area,route_direction,origin_prefix,destination_prefix,dtd_bucket,fare_bucket,stay_bucket,first_booking_class,first_rbd,actual_sold,predicted_probability,expected_revenue
29.0,270.9819836,,3,2,0,1,0,1,0,0,0,2,1,9.333333333333334,10.0,205.2726259,2,0,BAGGAGE,OLD HORIZON,LANG_02,One-Way,google,Organic Search,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CE,CU,15_30,very_high,unknown_or_oneway,P,A,1,0.6480571034318728,133.02838335460845
73.0,495.4510155,11.319444444444445,5,3,0,2,0,1,0,0,0,2,1,287.8333333333333,10.0,138.7692,3,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid MetaSearches,Paid MetaSearches,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BO,61_120,very_high,9_14,Y,L,1,0.9187672794945742,127.49660036163847
11.0,226.095287,3.2118055555555554,6,6,0,0,0,0,0,1,0,4,1,78.91666666666667,11.0,134.2874688,3,0,BAGGAGE,NEW MERIDIAN,LANG_02,Round-Trip,google,Organic Search,Email,Logged-In,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CI,8_14,very_high,3_5,Y,V,1,0.899725699164344,120.82188675509002
141.0,315.2155227,13.333333333333334,3,2,0,1,0,1,0,0,0,2,1,334.4166666666667,12.0,127.873248,2,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,120_plus,very_high,9_14,Y,O,0,0.9166664830007468,117.21712051404229
77.0,402.8388499,11.958333333333334,3,2,0,1,0,1,0,0,0,2,1,292.9166666666667,14.0,135.9321408,3,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,microsoft,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CA,61_120,very_high,9_14,Y,L,0,0.8361405624153359,113.65837665883264
140.0,705.6636536,,8,4,0,4,0,1,0,1,0,4,1,482.0833333333333,17.0,113.276784,3,0,BAGGAGE,UPPER APEX,LANG_09,Multi-City,microsoft,Paid Search,Paid Search,Logged-In,AREA_B,AREA_B,AREA_B_TO_AREA_B,BE,BU,120_plus,very_high,unknown_or_oneway,Y,U,1,0.9539656981896877,108.06216633724245
202.0,536.1236683999999,16.22222222222222,4,3,1,0,0,0,1,0,0,2,1,409.9166666666667,2.0,119.23872,3,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_D,AREA_C_TO_AREA_D,CA,DA,120_plus,very_high,15_30,Y,L,1,0.8919448711336843,106.35436474454546
56.0,70.553859,,7,7,0,0,0,0,0,0,0,2,1,8.166666666666666,12.0,117.2017252,3,0,BAGGAGE,NORTH HORIZON,LANG_04,One-Way,microsoft,Paid Search,MetaSearches,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CE,BO,31_60,high,unknown_or_oneway,Y,O,0,0.8920041609806354,104.544426552509
86.0,502.0485487,9.784722222222221,6,6,0,0,0,0,0,0,0,3,1,238.0,13.0,115.1595908,3,0,BAGGAGE,LOWER VERTEX,LANG_02,Round-Trip,apple,Paid Search,Paid Search,Logged-Out,AREA_B,AREA_B,AREA_B_TO_AREA_B,BU,BE,61_120,very_high,9_14,Y,W,0,0.8725042857913368,100.4772365229766
140.0,507.3393386,80.55208333333333,4,1,0,3,0,1,0,0,0,4,1,1936.5,12.0,121.9944022,4,0,BAGGAGE,SOUTH VERTEX,LANG_02,Round-Trip,google,Direct,MetaSearches,Logged-Out,AREA_D,AREA_C,AREA_D_TO_AREA_C,DA,CU,120_plus,very_high,30_plus,Y,T,1,0.8224070538844793,100.32905690370023
