DTD,FARE_YQ_TICKET,stay_length_days,pax_total,ADULTS,TEENAGERS,CHILDREN,INFANTS,has_child_or_infant,has_teenager,is_logged_in,has_loyalty,segment_count,has_connection,travel_span_hours,HOUR_OF_THE_DAY_PL_TIME,emd_price,display_position,is_hub_caj_route,product,MARKET,LANGUAGE,FLIGHT_TYPE,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,LOGIN_STATUS,origin_area,destination_area,route_direction,origin_prefix,destination_prefix,dtd_bucket,fare_bucket,stay_bucket,first_booking_class,first_rbd,actual_sold,predicted_probability,expected_revenue
,490.4283414,,2,2,0,0,0,0,0,1,0,1,0,19.333333333333332,11.0,118.0129254,3,0,PET,EAST ZENITH,LANG_08,One-Way,google,Paid Search,Paid Search,Logged-In,AREA_B,AREA_C,AREA_B_TO_AREA_C,BE,CA,MISSING,very_high,unknown_or_oneway,P,A,1,0.9952960022549214,117.45779286502828
31.0,646.0335861,,2,1,1,0,0,0,1,0,0,2,1,11.5,17.0,107.7337254,4,0,PET,NEW HORIZON,LANG_02,One-Way,google,Direct,Organic Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,31_60,very_high,unknown_or_oneway,C,F,0,0.8553612868541738,92.15125799573819
0.0,254.21489520000003,,1,1,0,0,0,0,0,1,0,1,0,20.833333333333332,13.0,106.0830572,5,1,PET,UPPER VERTEX,LANG_11,One-Way,apple,Direct,Direct,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,invalid_or_past,very_high,unknown_or_oneway,Y,M,0,0.7639911640695763,81.04651835828746
14.0,371.2680003,,3,1,0,2,0,1,0,1,0,1,0,14.916666666666666,15.0,114.3561,2,1,PET,LOWER VERTEX,LANG_02,One-Way,microsoft,MetaSearches,Organic Search,Logged-In,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,8_14,very_high,unknown_or_oneway,Y,K,0,0.6929771359949595,79.24616266155319
38.0,202.1426095,,2,2,0,0,0,0,0,0,0,2,1,16.5,13.0,107.7337254,5,0,PET,NEW HORIZON,LANG_02,One-Way,google,MetaSearches,MetaSearches,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,31_60,very_high,unknown_or_oneway,Y,T,0,0.7140770377404297,76.9301794983729
144.0,176.6129314,,2,2,0,0,0,0,0,1,0,2,1,11.666666666666666,11.0,107.7337254,5,0,PET,NEW HORIZON,LANG_02,One-Way,apple,Direct,Direct,Logged-In,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,120_plus,very_high,unknown_or_oneway,Y,S,0,0.6898203158509099,74.31691248322319
10.0,241.3504764,,4,2,0,2,0,1,0,0,0,1,0,16.166666666666668,15.0,100.6359378,3,1,PET,LOWER VERTEX,LANG_02,One-Way,microsoft,Paid Search,Paid Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,8_14,very_high,unknown_or_oneway,Y,U,0,0.7361082942532301,74.07894851453216
0.0,124.4481329,,2,1,0,0,1,1,0,0,0,1,0,16.166666666666668,23.0,114.3561,3,1,PET,LOWER VERTEX,LANG_02,One-Way,google,Paid Search,Paid Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,invalid_or_past,very_high,unknown_or_oneway,Y,T,0,0.6429169317920791,73.52147294370818
70.0,104.5835789,14.854166666666666,4,2,0,2,0,1,0,1,0,2,1,358.9166666666667,18.0,84.2920098,4,0,PET,NORTH HORIZON,LANG_09,Round-Trip,apple,Direct,Direct,Logged-In,AREA_B,AREA_B,AREA_B_TO_AREA_B,BA,BE,61_120,very_high,15_30,Y,W,0,0.8639235037563047,72.82184844507677
1.0,164.9130603,,2,2,0,0,0,0,0,0,0,1,0,16.166666666666668,23.0,100.6359378,3,1,PET,LOWER VERTEX,LANG_02,One-Way,apple,MetaSearches,MetaSearches,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,0_3,very_high,unknown_or_oneway,Y,W,0,0.7208190140944379,72.54029746746518
23.0,133.0479686,20.73263888888889,2,2,0,0,0,0,0,0,0,2,1,502.6666666666667,20.0,111.2020988,2,1,PET,GREAT MERIDIAN,LANG_02,Round-Trip,mozilla,Direct,Organic Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BE,CA,15_30,very_high,15_30,Y,W,1,0.6511298349042901,72.40700423265456
8.0,132.7892754,,1,1,0,0,0,0,0,0,0,2,1,16.5,1.0,107.7337254,5,0,PET,EAST ZENITH,LANG_02,One-Way,google,Direct,Direct,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,8_14,very_high,unknown_or_oneway,Y,K,0,0.6522311717353402,70.26729395305537
0.0,140.78906279999998,,1,1,0,0,0,0,0,0,0,1,0,20.833333333333332,19.0,106.0830572,5,1,PET,UPPER APEX,LANG_02,One-Way,apple,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,invalid_or_past,very_high,unknown_or_oneway,Y,Q,0,0.6586846756421386,69.87528412290844
1.0,95.5417376,,1,1,0,0,0,0,0,1,0,1,0,16.166666666666668,14.0,94.2362792,3,1,PET,LOWER VERTEX,LANG_02,One-Way,google,Paid Search,Organic Search,Logged-In,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,0_3,high,unknown_or_oneway,Y,W,0,0.7291283037574314,68.71033840550771
3.0,104.7000765,,1,1,0,0,0,0,0,1,1,1,0,16.166666666666668,15.0,114.3561,3,1,PET,UPPER APEX,LANG_09,One-Way,google,Direct,Push Notifications,Logged-In,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,0_3,very_high,unknown_or_oneway,Y,S,1,0.5980560402469629,68.39135634408571
16.0,125.4529247,,1,1,0,0,0,0,0,0,0,2,1,14.333333333333334,13.0,107.7337254,5,0,PET,NEW HORIZON,LANG_02,One-Way,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,15_30,very_high,unknown_or_oneway,Y,Q,0,0.632048645059811,68.09295516631573
143.0,109.0503196,,1,1,0,0,0,0,0,1,0,3,1,883.5833333333334,12.0,170.4634,4,1,PET,UPPER VERTEX,LANG_11,Multi-City,google,Direct,Organic Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,120_plus,very_high,unknown_or_oneway,Y,O,0,0.3926094306046886,66.92553841293928
67.0,88.1205835,,1,1,0,0,0,0,0,0,0,2,1,14.333333333333334,22.0,107.7337254,5,0,PET,NEW HORIZON,LANG_02,One-Way,apple,Direct,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,61_120,high,unknown_or_oneway,Y,S,0,0.6099017809834287,65.70699099343965
8.0,116.2658897,,1,1,0,0,0,0,0,0,0,1,0,20.833333333333332,23.0,106.0830572,5,1,PET,SOUTH ZENITH,LANG_02,One-Way,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,8_14,very_high,unknown_or_oneway,Y,S,0,0.6172553216754207,65.48033159629806
23.0,565.8472601,,1,1,0,0,0,0,0,0,0,1,0,16.166666666666668,14.0,72.811,3,1,PET,UPPER APEX,LANG_02,One-Way,google,Organic Search,Organic Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BO,CA,15_30,very_high,unknown_or_oneway,C,Z,0,0.8955618823829303,65.20675621818354
2.0,394.1794805,,1,1,0,0,0,0,0,0,0,2,1,257.9166666666667,18.0,76.2374,3,1,PET,UPPER MERIDIAN,LANG_02,Multi-City,google,Direct,Direct,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CA,0_3,very_high,unknown_or_oneway,Y,Y,0,0.8548041923308387,65.16804913240308
30.0,126.2178685,,1,1,0,0,0,0,0,0,0,1,0,20.833333333333332,7.0,106.0830572,5,1,PET,UPPER APEX,LANG_02,One-Way,google,Direct,MetaSearches,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,15_30,very_high,unknown_or_oneway,Y,S,0,0.6013499143034675,63.79303735626984
10.0,80.9692584,,1,1,0,0,0,0,0,0,0,1,0,16.166666666666668,22.0,100.6359378,3,1,PET,LOWER VERTEX,LANG_02,One-Way,google,Direct,Direct,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,8_14,high,unknown_or_oneway,Y,U,0,0.6211582337905486,62.5108413797035
4.0,156.9745198,,1,1,0,0,0,0,0,0,0,1,0,20.833333333333332,12.0,76.2374,2,1,PET,UPPER APEX,LANG_02,One-Way,google,MetaSearches,Organic Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,4_7,very_high,unknown_or_oneway,Y,K,1,0.8106490275070843,61.80177416966859
39.0,186.9812178,,2,2,0,0,0,0,0,1,0,1,0,20.583333333333332,20.0,74.7991686,3,1,PET,LOWER VERTEX,LANG_02,One-Way,apple,Direct,Direct,Logged-In,AREA_D,AREA_C,AREA_D_TO_AREA_C,DA,CA,31_60,very_high,unknown_or_oneway,Y,V,0,0.8243295070563423,61.65916178026224
40.0,108.2648174,,1,1,0,0,0,0,0,0,0,1,0,15.916666666666666,20.0,114.3561,3,1,PET,LOWER VERTEX,LANG_09,One-Way,google,Paid Search,Paid Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,31_60,very_high,unknown_or_oneway,Y,V,0,0.5388081723541511,61.61600123854854
21.0,172.3534879,,2,2,0,0,0,0,0,0,0,1,0,20.583333333333332,17.0,71.2879652,4,1,PET,LOWER VERTEX,LANG_02,One-Way,google,Direct,Direct,Logged-Out,AREA_D,AREA_C,AREA_D_TO_AREA_C,DA,CA,15_30,very_high,unknown_or_oneway,Y,V,0,0.8480146253245188,60.45323709922533
2.0,126.6431704,,1,1,0,0,0,0,0,0,0,1,0,20.833333333333332,10.0,106.0830572,5,1,PET,UPPER APEX,LANG_09,One-Way,google,Direct,MetaSearches,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,0_3,very_high,unknown_or_oneway,Y,S,0,0.5603488021458481,59.443514029989494
2.0,190.4594421,,1,1,0,0,0,0,0,0,0,2,1,429.75,15.0,76.2374,3,1,PET,UPPER APEX,LANG_02,Multi-City,google,Direct,Organic Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CA,0_3,very_high,unknown_or_oneway,Y,K,0,0.7745333939058293,59.04841216455627
15.0,94.2349943,,2,1,0,0,1,1,0,0,0,1,0,15.916666666666666,10.0,114.3561,3,1,PET,LOWER VERTEX,LANG_02,One-Way,mozilla,Direct,Affiliate,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,15_30,high,unknown_or_oneway,Y,V,0,0.5102746786904118,58.353022183788596
85.0,141.1359858,,1,1,0,0,0,0,0,1,1,1,0,20.833333333333332,20.0,106.0830572,4,1,PET,UPPER AURORA,LANG_02,One-Way,apple,Direct,Direct,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,61_120,very_high,unknown_or_oneway,Y,Q,0,0.5437864888810698,57.6865332045577
57.0,241.28494649999996,,1,1,0,0,0,0,0,1,0,4,1,341.5833333333333,15.0,76.2374,2,1,PET,UPPER VERTEX,LANG_02,Multi-City,google,Direct,Direct,Logged-In,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CA,31_60,very_high,unknown_or_oneway,Y,T,0,0.7499668798843427,57.17552500849459
7.0,1260.7164688,,2,2,0,0,0,0,0,0,0,1,0,16.166666666666668,10.0,72.811,3,1,PET,UPPER APEX,LANG_09,One-Way,apple,Paid Search,Paid Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BO,CA,4_7,very_high,unknown_or_oneway,C,Z,0,0.782582058629757,56.98058227089125
4.0,220.5783547,,1,1,0,0,0,0,0,1,0,1,0,0.8333333333333334,13.0,75.5915236,5,0,PET,NORTH MERIDIAN,LANG_02,Round-Trip,apple,Direct,Direct,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CI,BI,4_7,very_high,unknown_or_oneway,Y,V,1,0.7487236396384157,56.597160675605195
15.0,80.9692584,,1,1,0,0,0,0,0,1,0,1,0,16.166666666666668,19.0,100.6359378,3,1,PET,LOWER VERTEX,LANG_02,One-Way,google,Direct,Paid Search,Logged-In,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,15_30,high,unknown_or_oneway,Y,U,0,0.5608091436636922,56.43755409941058
12.0,66.133803,,1,1,0,0,0,0,0,0,0,1,0,16.166666666666668,16.0,94.2362792,3,1,PET,LOWER VERTEX,LANG_02,One-Way,google,Direct,Paid Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,8_14,high,unknown_or_oneway,Y,U,0,0.5971376064279431,56.27202620016336
30.0,97.6455472,44.68055555555556,1,1,0,0,0,0,0,0,0,2,1,1078.0,11.0,87.6635874,2,1,PET,LOWER VERTEX,LANG_02,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BO,CA,15_30,high,30_plus,Y,O,0,0.6377291365431749,55.90562389887914
1.0,131.7540743,,1,1,0,0,0,0,0,0,0,1,0,20.583333333333332,12.0,74.7991686,4,1,PET,UPPER APEX,LANG_09,One-Way,apple,Direct,Organic Search,Logged-Out,AREA_D,AREA_C,AREA_D_TO_AREA_C,DA,CA,0_3,very_high,unknown_or_oneway,C,I,0,0.7363519674396296,55.078514961458566
