DTD,FARE_YQ_TICKET,stay_length_days,pax_total,ADULTS,TEENAGERS,CHILDREN,INFANTS,has_child_or_infant,has_teenager,is_logged_in,has_loyalty,segment_count,has_connection,travel_span_hours,HOUR_OF_THE_DAY_PL_TIME,emd_price,display_position,is_hub_caj_route,product,MARKET,LANGUAGE,FLIGHT_TYPE,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,LOGIN_STATUS,origin_area,destination_area,route_direction,origin_prefix,destination_prefix,dtd_bucket,fare_bucket,stay_bucket,first_booking_class,first_rbd,actual_sold,predicted_probability,expected_revenue
69.0,164.9687393,9.677083333333334,5,5,0,0,0,0,0,0,0,4,1,235.25,22.0,122.6544125,2,0,SPECIAL EQUIPMENT,OLD AURORA,LANG_02,Round-Trip,google,Organic Search,Organic Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BO,CE,61_120,very_high,9_14,Y,O,1,0.9601044829729887,117.76105129766819
74.0,113.43996629999998,5.416666666666667,4,4,0,0,0,0,0,0,0,4,1,131.83333333333334,9.0,97.626702,5,0,SPECIAL EQUIPMENT,SOUTH HORIZON,LANG_02,Round-Trip,google,Direct,Organic Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BI,61_120,very_high,6_8,Y,O,1,0.9602478197244149,93.74582774238516
33.0,119.4121815,8.496527777777779,3,3,0,0,0,0,0,0,0,4,1,205.25,21.0,97.8005918,6,0,SPECIAL EQUIPMENT,CENTRAL MERIDIAN,LANG_02,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BI,CE,31_60,very_high,9_14,Y,O,0,0.9514883170280454,93.05612049612886
30.0,96.8219263,6.496527777777778,3,3,0,0,0,0,0,0,0,4,1,157.25,12.0,97.8005918,4,0,SPECIAL EQUIPMENT,CENTRAL MERIDIAN,LANG_02,Round-Trip,google,MetaSearches,MetaSearches,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BI,CE,15_30,high,6_8,Y,O,0,0.8858391301992941,86.63559117308822
34.0,45.5818275,4.263888888888889,2,2,0,0,0,0,0,0,0,4,1,104.25,19.0,97.626702,5,0,SPECIAL EQUIPMENT,SOUTH VERTEX,LANG_02,Round-Trip,apple,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BI,31_60,mid,3_5,Y,U,0,0.8573256633107198,83.69787704898798
71.0,60.330338,7.517361111111111,2,2,0,0,0,0,0,0,0,2,1,182.58333333333334,13.0,96.3675,3,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_02,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,61_120,high,6_8,Y,L,0,0.8569955563570983,82.58651927724269
27.0,81.5401823,7.135416666666667,4,2,0,1,1,1,0,0,0,2,1,173.58333333333334,22.0,92.0845,6,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,google,Direct,Paid MetaSearches,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CU,15_30,high,6_8,Y,L,0,0.8799712565387935,81.03171317274654
36.0,65.431391,3.3819444444444446,2,2,0,0,0,0,0,0,0,4,1,83.08333333333333,11.0,97.626702,4,0,SPECIAL EQUIPMENT,SOUTH VERTEX,LANG_02,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BI,31_60,high,3_5,Y,O,0,0.8167000481964635,79.73173222866177
13.0,54.0968598,5.704861111111111,2,2,0,0,0,0,0,1,0,4,1,138.16666666666666,10.0,97.8005918,4,0,SPECIAL EQUIPMENT,CENTRAL MERIDIAN,LANG_02,Round-Trip,apple,Direct,Direct,Logged-In,AREA_B,AREA_C,AREA_B_TO_AREA_C,BI,CE,8_14,high,6_8,Y,V,0,0.8123859952291588,79.45183110344371
32.0,267.0647518,4.135416666666667,7,7,0,0,0,0,0,0,0,2,1,101.58333333333333,16.0,92.0845,6,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,Direct,MetaSearches,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CU,31_60,very_high,3_5,Y,O,0,0.8266501893181311,76.12166935826545
122.0,244.74218410000003,7.322916666666667,8,7,0,1,0,1,0,1,0,2,1,176.66666666666666,19.0,85.66,2,1,SPECIAL EQUIPMENT,CENTRAL MERIDIAN,LANG_02,Round-Trip,microsoft,MetaSearches,MetaSearches,Logged-In,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,120_plus,very_high,6_8,Y,O,0,0.8862371811244499,75.91507693512038
341.0,342.3753106,5.541666666666667,4,4,0,0,0,0,0,0,0,4,1,134.66666666666666,15.0,87.6712968,3,0,SPECIAL EQUIPMENT,SOUTH VERTEX,LANG_02,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_B,AREA_B,AREA_B_TO_AREA_B,BA,BE,120_plus,very_high,6_8,C,F,1,0.8568675098322382,75.12268577277908
93.0,153.8145224,11.21875,3,2,0,1,0,1,0,0,0,2,1,273.25,22.0,77.094,2,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CI,61_120,very_high,9_14,Y,V,0,0.9335408266858224,71.97039649251678
123.0,67.76048639999999,6.322916666666667,3,2,1,0,0,0,1,0,0,2,1,152.66666666666666,23.0,85.66,4,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,MetaSearches,MetaSearches,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,120_plus,high,6_8,Y,L,0,0.8307351670373565,71.16077440841995
6.0,179.99050520000003,3.392361111111111,4,4,0,0,0,0,0,0,0,4,1,84.08333333333333,10.0,87.7603832,5,0,SPECIAL EQUIPMENT,NEW MERIDIAN,LANG_02,Round-Trip,google,Affiliate,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CI,BA,4_7,very_high,3_5,Y,V,1,0.8086074518445509,70.96369983225334
47.0,254.9310128,92.4375,2,2,0,0,0,0,0,1,0,4,1,2219.5833333333335,13.0,77.094,1,0,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,Direct,Direct,Logged-In,AREA_C,AREA_D,AREA_C_TO_AREA_D,CE,DA,31_60,very_high,30_plus,Y,O,0,0.9109021882352085,70.22509329980517
19.0,211.22428270000003,8.4375,2,2,0,0,0,0,0,0,0,4,1,203.58333333333334,10.0,77.094,4,0,SPECIAL EQUIPMENT,LOWER VERTEX,LANG_02,Round-Trip,apple,Direct,Paid Search,Logged-Out,AREA_C,AREA_D,AREA_C_TO_AREA_D,CE,DA,15_30,very_high,9_14,Y,U,0,0.8960788966731845,69.08230646012248
21.0,80.8090742,7.135416666666667,2,2,0,0,0,0,0,0,0,2,1,173.58333333333334,12.0,92.0845,2,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,microsoft,Internal,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CU,15_30,high,6_8,Y,L,0,0.7452108558862873,68.62236905886083
83.0,127.7755956,6.517361111111111,3,2,1,0,0,0,1,1,1,2,1,158.58333333333334,21.0,72.275625,3,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_02,Round-Trip,apple,Paid Search,Paid Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,61_120,very_high,6_8,Y,L,0,0.9348764869982503,67.56878239560292
28.0,168.34459990000002,8.88888888888889,3,3,0,0,0,0,0,0,0,4,1,215.33333333333334,19.0,68.5245736,6,0,SPECIAL EQUIPMENT,NORTH ZENITH,LANG_06,Round-Trip,google,MetaSearches,MetaSearches,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CU,CE,15_30,very_high,9_14,Y,W,1,0.9739351076872137,66.7384879683364
195.0,223.3207596,8.215277777777779,7,4,1,2,0,1,1,1,1,2,1,201.08333333333334,22.0,77.094,3,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,Direct,Affiliate,Logged-In,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CI,120_plus,very_high,9_14,Y,W,0,0.8612552314530525,66.39761081364162
48.0,130.151804,4.53125,2,2,0,0,0,0,0,0,0,2,1,110.91666666666667,19.0,107.075,5,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,31_60,very_high,3_5,Y,T,0,0.610694331620162,65.39009555822884
40.0,64.5079762,3.3784722222222223,2,2,0,0,0,0,0,0,0,4,1,83.83333333333333,16.0,87.2464232,5,0,SPECIAL EQUIPMENT,NORTH HORIZON,LANG_04,Round-Trip,google,MetaSearches,Organic Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CI,CI,31_60,high,3_5,Y,L,0,0.7336020794913327,64.00415748770085
97.0,73.5339704,5.517361111111111,2,2,0,0,0,0,0,0,0,2,1,134.58333333333334,13.0,72.275625,3,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,61_120,high,6_8,Y,U,0,0.8831283395577607,63.82865269674939
8.0,143.0012323,8.496527777777779,3,3,0,0,0,0,0,0,0,4,1,205.25,23.0,68.7974007,5,0,SPECIAL EQUIPMENT,CENTRAL MERIDIAN,LANG_02,Round-Trip,apple,Direct,Paid Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BI,CE,8_14,very_high,9_14,Y,S,1,0.9171608102050564,63.09827976601391
34.0,51.9609277,5.263888888888889,2,2,0,0,0,0,0,0,0,4,1,128.25,19.0,69.8574432,4,0,SPECIAL EQUIPMENT,SOUTH VERTEX,LANG_02,Round-Trip,google,Direct,Direct,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BO,31_60,mid,6_8,Y,O,0,0.9027557394887606,63.0642077948101
96.0,56.8542552,6.142361111111111,4,4,0,0,0,0,0,1,1,2,1,149.75,20.0,72.275625,3,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-In,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CU,61_120,high,6_8,Y,O,0,0.8724573317230714,63.057398936117316
