driver,best_cr_segment,best_cr,best_cr_lift,highest_revenue_segment,highest_segment_revenue
pax_bucket,4_plus,0.18659777549893508,3.5556556719607095,2,123077.2606693
has_child_or_infant,1,0.18251788451711803,3.4779125827320714,0,295007.8224494
MARKET,OLD MERIDIAN,0.12971698113207547,2.47178144797614,UPPER APEX,191189.9882704
FLIGHT_TYPE,Multi-City,0.12331251259318961,2.3497430966330217,Round-Trip,280952.4097093
fare_bucket,very_high,0.10429510472379863,1.9873628165038184,very_high,226817.7798455
dtd_bucket,120_plus,0.09114783008740991,1.73683902806794,120_plus,93137.0819423
emd_price_bucket,very_high,0.08660910087719298,1.650352690186095,very_high,197408.52394
route_direction,AREA_D_TO_AREA_B,0.08594864479315265,1.6377675754117103,AREA_C_TO_AREA_B,150494.0833917
stay_bucket,15_30,0.0839386225097508,1.5994662231386978,unknown_or_oneway,120165.0588041
FIRST_TOUCH_CHANNEL,Display,0.0783132530120482,1.49227375041013,Direct,164663.991001
LAST_TOUCH_CHANNEL,Organic Social,0.07407407407407407,1.411495399248328,Paid Search,142086.6254895
destination_area,AREA_D,0.07246594928136052,1.3808522791728413,AREA_B,205772.7008423
first_rbd,J,0.07063197026022305,1.3459054643390191,O,90973.7750478
is_hub_caj_route,0,0.06620536477020332,1.2615556650124409,1,226828.3455782
BROWSER_TYPE,opera,0.06290054592926655,1.1985817210564664,google,203663.3032122
display_position_bucket,2,0.05981191222570533,1.1397272255121766,2,154514.0403769
origin_area,AREA_D,0.05976559005099758,1.1388445477696538,AREA_C,254452.4239555
has_loyalty,0,0.054250506805044264,1.0337536002898362,0,370439.1494287
LOGIN_STATUS,Logged-Out,0.053324828756008004,1.0161146311399383,Logged-Out,279596.4466016
first_booking_class,Y,0.05315217324759656,1.01282464798694,Y,388151.9820492
