driver,best_cr_segment,best_cr,best_cr_lift,highest_revenue_segment,highest_segment_revenue
first_rbd,Y,0.09536423841059603,20.415328521467373,R,1612.2458353
FLIGHT_TYPE,Multi-City,0.06567796610169492,14.060168433525892,Round-Trip,7646.349957
first_booking_class,P,0.06342364532019705,13.577569294539463,Y,7246.7199307
origin_area,AREA_D,0.052478134110787174,11.23438267762964,AREA_C,5315.2942279
route_direction,AREA_D_TO_AREA_C,0.04,8.563096129837703,AREA_C_TO_AREA_B,2785.6396435
MARKET,WEST ZENITH,0.02527075812274368,5.409898276973278,LOWER VERTEX,3051.8722084
is_hub_caj_route,0,0.024718579552048276,5.2916893224307495,0,5578.4301838
emd_price_bucket,low,0.023982558139534885,5.134123769706472,mid,5046.461882
fare_bucket,very_high,0.014608233731739707,3.1272927433006217,very_high,6420.9339742
dtd_bucket,invalid_or_past,0.00997398091934085,2.1352039352370684,120_plus,1838.9420272
display_position_bucket,3,0.009861932938856016,2.1112169945359227,5,3875.2202813
destination_area,AREA_D,0.008440137542982182,1.8068427282402157,AREA_C,5257.219746
stay_bucket,30_plus,0.00837070254110613,1.7919782633442132,unknown_or_oneway,3141.606198
FIRST_TOUCH_CHANNEL,MetaSearches,0.006044731009470079,1.2940403178275797,Direct,4384.1507544
has_loyalty,1,0.0060176721511273614,1.2882476276987709,0,9278.280032
LAST_TOUCH_CHANNEL,Organic Search,0.005846784268652241,1.2516643935722993,Paid Search,3806.8580334
BROWSER_TYPE,microsoft,0.005078809106830123,1.0872582651720377,google,4802.1728393
pax_bucket,1,0.005025170640821226,1.0757754816547573,1,5445.6409084
LOGIN_STATUS,Logged-In,0.004881830372108616,1.045089569148186,Logged-Out,7250.9035651
has_child_or_infant,0,0.004759326643415635,1.0188642890216473,0,9474.2234273
