driver,best_cr_segment,best_cr,best_cr_lift,highest_revenue_segment,highest_segment_revenue
first_rbd,I,0.10073260073260074,4.089261218890849,O,2576.3499919
first_booking_class,C,0.08409250175192712,3.413752883502942,Y,19189.2413976
dtd_bucket,invalid_or_past,0.052837110230163895,2.1449336581314307,15_30,3366.0688054
FLIGHT_TYPE,Multi-City,0.04991467576791809,2.0262968134128543,Round-Trip,14477.9401127
MARKET,WEST MERIDIAN,0.04918032786885246,1.9964858052289747,UPPER APEX,12381.8771748
stay_bucket,1_2,0.048436951176677207,1.9663082712803668,unknown_or_oneway,5814.8380782
has_loyalty,1,0.040050149752733855,1.6258442947321001,0,16963.8335729
route_direction,AREA_B_TO_AREA_D,0.036935704514363885,1.4994127319708714,AREA_C_TO_AREA_C,7543.4645876
display_position_bucket,1,0.03565664288141352,1.4474889546221708,2,8448.2958789
emd_price_bucket,mid,0.029624277456647398,1.2026038051246786,very_low,9390.2624934
destination_area,AREA_D,0.0289181220231345,1.1739372760390376,AREA_C,10721.5460985
LOGIN_STATUS,Logged-In,0.02823842964717827,1.1463450203684855,Logged-Out,13109.2290838
LAST_TOUCH_CHANNEL,Email,0.027793788024335575,1.1282946997039571,Direct,7449.5876521
fare_bucket,mid,0.02740614861733354,1.1125583960402095,very_high,5653.3981026
FIRST_TOUCH_CHANNEL,Direct,0.027046946612164002,1.0979765147147504,Direct,10313.4053229
BROWSER_TYPE,apple,0.02700617283950617,1.0963212947952317,google,8363.0958731
pax_bucket,1,0.02599556525031097,1.0552954660967055,1,10552.755638300001
is_hub_caj_route,0,0.02554942080762152,1.0371841381428428,1,14737.4188149
origin_area,AREA_C,0.02521888162202802,1.023765830036619,AREA_C,15171.787397600001
has_child_or_infant,0,0.024900388607408137,1.0108365387873044,0,17967.3704539
