driver,best_cr_segment,best_cr,best_cr_lift,highest_revenue_segment,highest_segment_revenue
route_direction,AREA_B_TO_AREA_D,0.051587301587301584,4.579614280296874,AREA_C_TO_AREA_B,5984.1651983
MARKET,OLD HORIZON,0.046296296296296294,4.1099102515484764,UPPER APEX,6603.2912651999995
FLIGHT_TYPE,Multi-City,0.04191875540190147,3.7212981672620433,Round-Trip,11421.3458968
first_rbd,Y,0.030726256983240222,2.7276946250500504,O,2758.2211624
is_hub_caj_route,0,0.021527837908043985,1.9111136049779878,1,10017.8988813
first_booking_class,C,0.017927266518695577,1.5914762592644602,Y,16481.9994993
stay_bucket,unknown_or_oneway,0.016971341901492777,1.5066149485711546,unknown_or_oneway,6331.6047281
has_child_or_infant,1,0.016432212028542302,1.4587542001092426,0,14443.1317434
display_position_bucket,1,0.015982440954618524,1.4188261951617456,1,6958.2251884
origin_area,AREA_D,0.01587039180029757,1.4088791366524913,AREA_C,11138.0173091
FIRST_TOUCH_CHANNEL,MetaSearches,0.01504590275416525,1.3356858954199367,Direct,7240.3592474
destination_area,AREA_D,0.014654717975751186,1.300958833869177,AREA_C,8425.0301946
LAST_TOUCH_CHANNEL,MetaSearches,0.014194869840664967,1.260136247274977,Paid Search,6197.8273646
dtd_bucket,0_3,0.013663103295591119,1.2129291713343393,31_60,3274.7573869
fare_bucket,mid,0.01299325058772972,1.1534636258952908,very_high,7573.7792333
pax_bucket,3,0.012744587103804425,1.1313887584970517,1,8417.0646712
BROWSER_TYPE,google,0.012094260652745001,1.0736566381789068,google,8571.619296
emd_price_bucket,very_low,0.011848150237769,1.051808417080416,low,6170.8787286
has_loyalty,0,0.011496968929772002,1.0206326260700123,0,16083.4856228
LOGIN_STATUS,Logged-Out,0.011393066225597945,1.0114087610265632,Logged-Out,12366.4853577
