driver,segment_value,offers,purchases,conversion_rate,revenue,avg_price,cr_lift_vs_product,revenue_share
MARKET,OLD HORIZON,756,35,0.046296296296296294,128.28998389999998,4.415221762037037,4.1099102515484764,0.007509418769588303
MARKET,GREAT HORIZON,687,25,0.036390101892285295,74.7760404,3.092580361572052,3.230497140955134,0.004376994869162606
MARKET,CENTRAL VERTEX,2670,97,0.036329588014981276,183.1492177,2.131279992022472,3.2251250782937713,0.010720588866110181
MARKET,UPPER AURORA,613,20,0.03262642740619902,33.5722955,2.222872807830343,2.8963804709118137,0.001965145043297998
MARKET,EAST HORIZON,1034,24,0.02321083172147002,81.7063627,2.6964537776595745,2.0605198011631822,0.004782659370605546
MARKET,WEST MERIDIAN,1099,23,0.020928116469517744,80.3306631,4.201805387989081,1.857873897151304,0.004702133174533936
MARKET,SOUTH VERTEX,6444,128,0.019863438857852266,448.1281485,2.6343613730602113,1.7633581414464972,0.02623105738441639
MARKET,GREAT APEX,519,10,0.019267822736030827,19.5673138,2.7857151901734105,1.7104828792571694,0.0011453673081343668
MARKET,NEW MERIDIAN,7107,133,0.018713943998874348,484.557205,3.77981650288448,1.66131281421816,0.028363422143716146
MARKET,CENTRAL APEX,6033,110,0.018233051549809382,379.6746727,3.0262341914138906,1.6186220384019858,0.02222415208761029
MARKET,CENTRAL HORIZON,879,16,0.01820250284414107,52.3198431,3.4130184267349257,1.6159101057282748,0.0030625275633622954
MARKET,LOWER APEX,1067,19,0.01780693533270853,38.3949535,3.1150953432052484,1.5807939711672867,0.0022474379971480388
MARKET,OLD ZENITH,3831,67,0.017488906290785696,173.4053927,2.5027830683372487,1.5525612414620087,0.01015023676130659
MARKET,CENTRAL MERIDIAN,3570,62,0.017366946778711485,232.3339048,2.759426645742297,1.5417344002447395,0.013599600939047761
MARKET,WEST HORIZON,1651,28,0.016959418534221685,69.3726076,2.962824267716535,1.505556462832537,0.004060706422824052
MARKET,SOUTH MERIDIAN,7106,117,0.016464959189417393,447.2475637,3.284969143934703,1.4616612985805388,0.02617951259639546
MARKET,NEW HORIZON,5067,83,0.01638050128281034,266.5944784,4.075723931833432,1.454163627190864,0.015605034150803753
MARKET,GREAT MERIDIAN,4050,66,0.016296296296296295,266.8416075,3.649217522962963,1.4466884085450635,0.015619499784406904
MARKET,WEST AURORA,825,13,0.01575757575757576,43.5465459,2.9052949176969696,1.398863998345227,0.002548985035239361
MARKET,EAST ZENITH,877,13,0.014823261117445839,94.285962,10.324818589509691,1.3159210930841645,0.005519002740723623
MARKET,OLD AURORA,1485,22,0.014814814814814815,108.595465,4.877278219326599,1.3151712804955125,0.0063566055460637545
MARKET,NORTH HORIZON,10059,148,0.014713192166219306,377.7404699,2.8191125826821755,1.3061498252460653,0.022110934061004006
MARKET,NEW APEX,3739,54,0.014442364268520995,185.2251878,2.9231539147633057,1.282107332817904,0.010842105202461082
MARKET,LOWER VERTEX,31404,434,0.013819895554706406,2689.4207636,8.997584233422494,1.226848256977329,0.15742450148907025
MARKET,WEST VERTEX,807,11,0.013630731102850062,46.0662348,3.7470879001239155,1.2100553603072095,0.0026964743289782413
MARKET,UPPER HORIZON,1631,22,0.0134886572654813,81.0870409,4.247899620171673,1.1974428887405493,0.004746407540120009
MARKET,GREAT AURORA,892,12,0.013452914798206279,22.5101631,3.4428156058295962,1.1942698847548936,0.0013176261789961457
MARKET,UPPER MERIDIAN,17036,227,0.0133247241136417,750.3122154,3.285619806298427,1.1828898770481622,0.04391931826702913
MARKET,SOUTH HORIZON,12177,156,0.012811037201281104,428.1423856,2.873275083074649,1.1372878035327048,0.025061196273803207
MARKET,NORTH ZENITH,3924,49,0.012487257900101937,166.3958349,3.0886320762232415,1.108544599958947,0.009739934231758654
MARKET,NORTH MERIDIAN,5884,68,0.011556764106050306,468.7109616,9.382812429486744,1.0259408867223663,0.027435866663561275
MARKET,UPPER VERTEX,11718,133,0.011350059737156512,542.583289,4.801563219858338,1.0075909003796266,0.03175996294190474
MARKET,LOWER ZENITH,8054,91,0.011298733548547305,344.8187621,3.5338111947603674,1.0030344661588881,0.02018387098901136
MARKET,NEW ZENITH,1272,14,0.0110062893081761,58.3584448,4.9227859201257855,0.977073003198317,0.003415995445807387
MARKET,GREAT ZENITH,1020,11,0.010784313725490196,45.2871571,3.368021030392157,0.9573673291842334,0.0026508712310161437
MARKET,EAST VERTEX,590,6,0.010169491525423728,21.7370816,2.5708714759322033,0.9027870654248856,0.0012723740669446958
MARKET,LOWER MERIDIAN,3765,38,0.010092961487383798,133.5131024,3.0469573697742365,0.8959931831264248,0.007815152568185218
MARKET,CENTRAL AURORA,1801,18,0.009994447529150472,44.7881876,2.892675179733481,0.8872476989461675,0.0026216641891657617
MARKET,WEST APEX,4799,45,0.00937695353198583,167.0691225,2.9266531520108354,0.8324302489070888,0.009779344935440026
MARKET,SOUTH ZENITH,903,8,0.008859357696566999,27.400064200000003,5.794492518161684,0.7864811644159211,0.0016038551891298862
MARKET,NEW AURORA,6278,55,0.008760751831793565,147.356615,3.0096969149569928,0.7777275213188262,0.008625478754183532
MARKET,UPPER APEX,202018,1630,0.008068587947608629,6603.2912651999995,4.289501470524904,0.7162813221421792,0.3865218301578677
MARKET,OLD APEX,523,4,0.0076481835564053535,21.772630499999998,1.9655219304015297,0.6789603168906088,0.0012744549119863967
MARKET,EAST MERIDIAN,342,1,0.0029239766081871343,2.5111229,2.452736342690059,0.2595732790451669,0.0001469878852950968
MARKET,LOWER HORIZON,549,1,0.0018214936247723133,1.0883103,2.6609732897996357,0.16170138694616956,6.370394278267797e-05
FLIGHT_TYPE,Multi-City,2314,97,0.04191875540190147,461.7206773,7.53716157968885,3.7212981672620433,0.026803331215152007
FLIGHT_TYPE,One-Way,112310,1908,0.016988692013177813,5343.1757013,2.7486480312910695,1.5081551884517592,0.31017650952990145
FLIGHT_TYPE,Round-Trip,275538,2390,0.008673939710675116,11421.3458968,5.020375681952399,0.770020856745489,0.6630201592549465
fare_bucket,mid,79118,1028,0.01299325058772972,2804.0950905,3.2403064379180466,1.1534636258952908,0.16278042800456827
fare_bucket,very_high,75882,959,0.012638043277720671,7573.7792333,8.759341817598376,1.121930430334938,0.4396651987250733
fare_bucket,high,78506,950,0.012100985911904822,3795.5680454,4.626801902732275,1.0742536667487166,0.22033639053250023
fare_bucket,low,79913,894,0.011187166043071841,2041.8350183,2.9136531727603767,0.9931301655738329,0.11853049467531582
fare_bucket,very_low,76743,564,0.007349204487705719,1010.9648879,2.5061896226965326,0.6524187306785526,0.058687488062542356
dtd_bucket,0_3,31618,432,0.013663103295591119,1298.6124528,3.1851138802738945,1.2129291713343393,0.07914501697301873
dtd_bucket,4_7,37354,484,0.012957113026717353,1502.7616478,3.333440049938427,1.150255547833924,0.09158705960742086
dtd_bucket,8_14,47840,561,0.011726588628762542,1729.286948,3.5971353758716558,1.041016899334528,0.10539283260034958
dtd_bucket,15_30,80450,924,0.011485394655065258,3230.2561603,3.8689451302287137,1.0196051306961482,0.19687065073410007
dtd_bucket,invalid_or_past,11900,136,0.011428571428571429,360.1441927,3.5524604952436976,1.0145607020965381,0.021949287628127718
dtd_bucket,31_60,79700,812,0.010188205771643664,3274.7573869,4.377983859922208,0.9044484050684949,0.19958281503452943
dtd_bucket,120_plus,43100,376,0.008723897911832947,2329.116815,6.777907730308584,0.7744558491641789,0.14194996317635675
dtd_bucket,61_120,58025,495,0.008530805687203791,2683.0772123,5.458551286133563,0.7573142681526293,0.16352237424609678
stay_bucket,unknown_or_oneway,125270,2126,0.016971341901492777,6331.6047281,3.0370038596830846,1.5066149485711546,0.3675557690920133
stay_bucket,6_8,44394,496,0.011172680992926972,2242.9775473,4.7636424200883,0.9918442688424057,0.13020701273330473
stay_bucket,9_14,40407,386,0.009552800257381146,2371.818325,6.39177378641572,0.848040876910203,0.13768634430429927
stay_bucket,15_30,34608,293,0.008466250577901064,1990.5765026,8.187897940646671,0.751583448913546,0.11555488833700256
stay_bucket,3_5,99891,765,0.007658347598882782,2912.5633504,3.485976096516203,0.6798626202219121,0.16907711524290456
stay_bucket,30_plus,15632,118,0.007548618219037871,737.0254928,8.986711401861566,0.670121497514506,0.04278504162527147
stay_bucket,1_2,29960,211,0.0070427236315086785,639.6763291999999,2.910087638017356,0.625211180322341,0.03713382866520414
route_direction,AREA_B_TO_AREA_D,504,26,0.051587301587301584,127.7439014,6.042158119642857,4.579614280296874,0.007427654654128241
route_direction,AREA_D_TO_AREA_B,546,21,0.038461538461538464,76.4194275,3.006564808241758,3.414386978209504,0.00444339894206637
route_direction,AREA_B_TO_AREA_B,28230,534,0.01891604675876727,2047.0302973,5.377576057424725,1.6792542970407633,0.11902434439724935
route_direction,AREA_D_TO_AREA_C,5440,71,0.013051470588235295,309.6142153,4.4768314952389705,1.1586320517968278,0.018002483422330393
route_direction,AREA_C_TO_AREA_D,8918,109,0.012222471406144875,538.0278902,4.793897400459744,1.0850384274776557,0.03128357063544975
route_direction,AREA_B_TO_AREA_C,78705,886,0.011257226351565975,3499.5917587,4.599389245124198,0.9993497037041373,0.20348336577464896
route_direction,AREA_C_TO_AREA_B,122928,1260,0.010249902381882078,5984.1651983,5.4883278645898415,0.9099254637360353,0.34794860654087745
route_direction,AREA_C_TO_AREA_C,144828,1484,0.010246637390559837,4615.8242205999995,3.0987317950707047,0.909635617195815,0.26838657563324936
origin_area,AREA_D,6049,96,0.01587039180029757,413.8590089,4.363118439494131,1.4088791366524913,0.024024915143043873
origin_area,AREA_B,107439,1446,0.013458799877139585,5674.3659574,4.810628825016056,1.1947923271136598,0.3294024237371432
origin_area,AREA_C,276674,2853,0.01031177486861794,11138.0173091,4.215084442962114,0.9154181356745649,0.6465726611198129
destination_area,AREA_D,9485,139,0.014654717975751186,693.5971577,4.870235153473906,1.300958833869177,0.04026398483263492
destination_area,AREA_B,151704,1815,0.011964087960765701,8107.6149231,5.458786348578152,1.0621006796241792,0.47065487605954026
destination_area,AREA_C,228973,2441,0.010660645578299625,8425.0301946,3.6472947565350498,0.946388805488177,0.4890811391078248
is_hub_caj_route,0,92392,1989,0.021527837908043985,7208.3433941,4.278707937240237,1.9111136049779878,0.4184512953468617
is_hub_caj_route,1,297770,2406,0.008080061792658763,10017.8988813,4.413230154837627,0.7172999019675377,0.5815487046531383
first_booking_class,MISSING,431,13,0.030162412993039442,55.0010011,5.148154075174014,2.6776399040250864,0.0031928612300167396
first_booking_class,C,5857,105,0.017927266518695577,426.5195569,4.157525357777019,1.5914762592644602,0.02475987218112524
first_booking_class,P,3416,57,0.01668618266978923,262.7222181,8.422431106703748,1.4813002054175892,0.015251278479647384
first_booking_class,Y,380458,4220,0.011091894506095285,16481.9994993,4.347668919712819,0.9846725242974171,0.9567959881092106
first_rbd,Y,1432,44,0.030726256983240222,215.73856469999998,4.814862760544693,2.7276946250500504,0.012562374930287173
first_rbd,I,1793,43,0.023982152816508645,180.8693768,4.09098830864473,2.128993107439055,0.010531955322538514
first_rbd,F,1732,29,0.01674364896073903,141.476056,4.502911030658199,1.4864017214607192,0.008238097169144207
first_rbd,A,782,13,0.016624040920716114,67.2165454,8.237254555882354,1.4757836299677907,0.00391399398622897
first_rbd,R,2350,39,0.016595744680851062,143.8419852,8.254332104425533,1.473271657831675,0.008375864330570559
first_rbd,B,1343,22,0.016381236038719285,75.5542615,4.281947587490692,1.4542288544570634,0.0043994960375480854
first_rbd,D,634,10,0.015772870662460567,25.2564227,3.6969680539432175,1.4002217891710897,0.0014706719301503534
first_rbd,T,26862,367,0.013662422753331844,1415.814178,3.7745641165214803,1.2128687568340064,0.082442323468616
first_rbd,C,443,6,0.013544018058690745,19.890252,3.4882985347629796,1.2023574911979291,0.001158201842259194
first_rbd,Z,1263,17,0.013460015835312747,59.0274494,4.231632485510689,1.1949002726592244,0.0034371460270559346
first_rbd,S,34189,450,0.013162128169879201,1691.3528453,3.979395995355231,1.1684555747477607,0.09848683572921998
first_rbd,Q,19387,252,0.012998400990354361,886.6272564,3.475312270913499,1.1539208480542975,0.05162796940731041
first_rbd,V,38583,500,0.012959075240390847,1836.6206412,3.9572583071404503,1.1504297415111202,0.10694572447694992
