driver,best_cr_segment,best_cr,best_cr_lift,highest_revenue_segment,highest_segment_revenue
MARKET,WEST MERIDIAN,0.05147759771210677,4.420873848839633,UPPER APEX,40909.5867468
first_rbd,Z,0.03656821378340366,3.140462399157476,O,16254.6437254
FLIGHT_TYPE,Multi-City,0.03318722604884158,2.8501046333859437,Round-Trip,55559.743719699996
route_direction,AREA_B_TO_AREA_D,0.03236797274275979,2.7797475134463596,AREA_C_TO_AREA_C,33835.7004283
first_booking_class,C,0.024283935242839352,2.085493865941126,Y,89498.0498375
is_hub_caj_route,0,0.018520400017417303,1.5905239511165674,1,67301.94842
stay_bucket,unknown_or_oneway,0.018340146282635594,1.5750438382583731,unknown_or_oneway,41708.0334577
pax_bucket,2,0.016522511922494397,1.418946184781223,1,53078.2497571
origin_area,AREA_D,0.016069012178619755,1.3799998227275143,AREA_C,61385.0807158
BROWSER_TYPE,apple,0.015420030272452069,1.3242655370409067,google,40553.8536158
FIRST_TOUCH_CHANNEL,Organic Search,0.015151515151515152,1.301205574476087,Direct,52407.122074
LAST_TOUCH_CHANNEL,Organic Search,0.015138163989245125,1.3000589824291684,Direct,36825.426735
has_child_or_infant,1,0.014512158251630458,1.246297880170246,0,86627.953717
display_position_bucket,5,0.014187306094546985,1.2183997172835246,5,26581.2980805
LOGIN_STATUS,Logged-In,0.014048920347639101,1.2065152091334226,Logged-Out,61186.8047987
fare_bucket,low,0.013363116746600092,1.1476186922013523,very_high,22440.8564506
emd_price_bucket,high,0.013279778492106405,1.140461638914609,very_high,62440.0362967
dtd_bucket,15_30,0.01272818402448032,1.0930909443703438,15_30,20075.9560272
destination_area,AREA_C,0.01197733284285389,1.028608169323482,AREA_C,58279.9511156
has_loyalty,0,0.011763806971297251,1.010270659735434,0,86717.6834236
