driver,segment_value,offers,purchases,conversion_rate,revenue,avg_price,cr_lift_vs_product,revenue_share
MARKET,WEST MERIDIAN,1049,54,0.05147759771210677,1147.3912869,21.473703230791227,4.420873848839633,0.012218841786509303
MARKET,GREAT MERIDIAN,4288,176,0.041044776119402986,4023.1782295,20.71625192271455,3.5249076383195495,0.04284377860146108
MARKET,NORTH ZENITH,4153,126,0.030339513604623163,2553.9494736,18.917491945364795,2.605544319129097,0.027197613320709208
MARKET,GREAT APEX,571,15,0.02626970227670753,289.196726,18.599426308231173,2.256030680790414,0.0030797244850251804
MARKET,LOWER APEX,1033,24,0.023233301064859633,499.2453252,20.96991130338819,1.995265856699053,0.005316581806852124
MARKET,NORTH APEX,304,7,0.023026315789473683,124.142755,20.320799166118423,1.9774900506840531,0.0013220256242181044
MARKET,UPPER HORIZON,785,18,0.022929936305732482,299.8793846,18.328093495414013,1.9692130222644475,0.0031934866486244486
MARKET,UPPER VERTEX,11963,270,0.022569589567834156,5077.4275437,22.207194964808156,1.9382666001140074,0.05407072944274669
MARKET,NEW ZENITH,1330,28,0.021052631578947368,640.9201124,23.938341365112784,1.807990903482563,0.006825310197679661
MARKET,CENTRAL AURORA,1219,24,0.019688269073010665,492.3090067,19.06751651099262,1.690820040992717,0.0052427153069928446
MARKET,EAST HORIZON,972,19,0.01954732510288066,448.16069930000003,21.93486498796296,1.678715833737668,0.004772569516780136
MARKET,NORTH HORIZON,11003,195,0.01772243933472689,4373.4792316,22.15964620250841,1.5219954324736198,0.046574217006549484
MARKET,NEW APEX,3442,60,0.017431725740848343,1229.6398774,21.431344211708307,1.4970290746441908,0.01309472652256838
MARKET,WEST ZENITH,298,5,0.016778523489932886,128.2081786,17.25687675771812,1.4409323475741904,0.0013653192837836667
MARKET,CENTRAL APEX,5664,86,0.01518361581920904,1836.4514627,20.571055342461158,1.3039623659474346,0.01955680693023301
MARKET,CENTRAL HORIZON,793,12,0.015132408575031526,208.4741684,18.766306383858765,1.2995647099433303,0.002220090835041966
MARKET,WEST APEX,4748,70,0.014743049705139006,1526.6864858,22.23568161457456,1.2661267384329238,0.016258046265970893
MARKET,SOUTH AURORA,275,4,0.014545454545454545,107.280584,24.400434779636363,1.2491573514970435,0.0011424563683082659
MARKET,SOUTH HORIZON,11895,173,0.014543926019335856,2920.9730209,18.366407948844053,1.249026082334423,0.031106134073466993
MARKET,SOUTH VERTEX,6061,88,0.014519056261343012,1752.6070264,18.55233409905956,1.2468902782638365,0.01866392765397784
MARKET,GREAT AURORA,846,12,0.014184397163120567,222.9952516,21.082801204728135,1.2181498995095283,0.0023747292920490064
MARKET,GREAT HORIZON,291,4,0.013745704467353952,69.157601,18.88804766185567,1.1804751603494397,0.0007364756858461181
MARKET,SOUTH MERIDIAN,7039,96,0.013638300895013496,2232.9339123,22.22530703112658,1.1712513879642688,0.023779042516385122
MARKET,WEST VERTEX,820,11,0.013414634146341463,200.6268558,20.93580594670732,1.1520429842312674,0.0021365229430739684
MARKET,NORTH MERIDIAN,5388,72,0.013363028953229399,2228.4350491,33.23282418867854,1.1476111525446113,0.023731133055778647
MARKET,OLD AURORA,1362,18,0.013215859030837005,318.4209199,21.53877429750367,1.1349722631994064,0.0033909398530337156
MARKET,WEST HORIZON,1708,20,0.0117096018735363,382.664635,17.999437895784546,1.0056155493609105,0.004075086403166001
MARKET,LOWER MERIDIAN,3618,42,0.011608623548922056,849.6469778,18.90842373297402,0.9969435744742159,0.009048092062972753
MARKET,GREAT ZENITH,694,8,0.011527377521613832,155.4287851,20.262917434582132,0.9899662007541411,0.0016551979746485337
MARKET,NEW AURORA,6120,70,0.011437908496732025,1434.4161036,21.64895768527778,0.9822826395554775,0.015275437094579472
MARKET,NEW MERIDIAN,4861,54,0.011108825344579305,1185.3450914,20.655780670479324,0.9540211206403568,0.012623020847023663
MARKET,WEST AURORA,778,8,0.010282776349614395,130.0794213,20.90139398059126,0.883080389875802,0.0013852465908466612
MARKET,UPPER APEX,201322,1913,0.009502190520658448,40909.5867468,22.06967868811605,0.8160440161641639,0.43565588628545393
MARKET,LOWER ZENITH,4760,45,0.009453781512605041,910.2625636,20.6827001282563,0.8118866714693231,0.00969360180419439
MARKET,CENTRAL MERIDIAN,2582,24,0.009295120061967466,822.0516088,23.287693313284276,0.7982608946437342,0.00875422243741342
MARKET,LOWER VERTEX,29904,270,0.009028892455858748,7478.2653352,26.559915881313536,0.7753973828639604,0.07963782016788971
MARKET,OLD ZENITH,2834,24,0.008468595624558928,451.847934,19.344374884509527,0.7272793330875519,0.004811835753105454
MARKET,UPPER MERIDIAN,15363,124,0.008071340233027403,2813.5990675,21.68344786283278,0.6931632117107528,0.029962683392286277
MARKET,OLD HORIZON,561,4,0.0071301247771836,135.4031903,28.002349432263816,0.6123320350475704,0.0014419406688491833
MARKET,SOUTH ZENITH,856,6,0.007009345794392523,129.9740595,23.98923260478972,0.6019595881922085,0.0013841245680639887
MARKET,NEW HORIZON,2870,19,0.00662020905923345,327.0391725,21.46889192944251,0.5685406935167293,0.003482717667801757
MARKET,EAST VERTEX,465,3,0.0064516129032258064,82.8169446,17.589457558709675,0.5540617284865919,0.0008819372735899987
MARKET,EAST ZENITH,1141,7,0.006134969325153374,347.1607065,30.29386770709904,0.5268685148185384,0.0036969966528828902
MARKET,UPPER AURORA,616,3,0.00487012987012987,51.949791899999994,18.864371292045455,0.41824464893874225,0.0005532256478809265
MARKET,OLD APEX,623,3,0.004815409309791332,81.2549345,22.409388853611556,0.41354527086077886,0.0008653030577834663
MARKET,CENTRAL VERTEX,2259,10,0.004426737494466578,252.7633865,17.40343242324037,0.38016630329978635,0.0026917372166997944
MARKET,EAST MERIDIAN,365,1,0.0027397260273972603,19.7142207,15.776314330958904,0.23528648743951164,0.00020994140920177723
MARKET,LOWER HORIZON,602,0,0.0,0.0,19.841262875249168,0.0,0.0
MARKET,NORTH VERTEX,250,0,0.0,0.0,16.7327610116,0.0,0.0
FLIGHT_TYPE,Multi-City,1597,53,0.03318722604884158,1482.5673027999999,27.15576155817157,2.8501046333859437,0.0156794869845957
FLIGHT_TYPE,One-Way,116335,2192,0.018842136932135642,37512.2687451,15.421481014049084,1.618154578335019,0.3967260902359161
FLIGHT_TYPE,Round-Trip,255730,2106,0.008235248113244437,55559.743719699996,25.20561492289563,0.7072395496417244,0.5875944227794883
fare_bucket,low,76105,1017,0.013363116746600092,18778.0806787,20.00454707266671,1.1476186922013523,0.19859514710819412
fare_bucket,mid,75747,975,0.012871796902847638,20160.6069524,21.325108036157207,1.105424356311619,0.21321660994053954
fare_bucket,high,76226,966,0.012672841287749587,22283.5264418,23.63093377636633,1.0883381340526515,0.23566839910419288
fare_bucket,very_high,69243,760,0.010975838712938491,22440.8564506,29.827188020468494,0.9426002861765164,0.23733230591004714
fare_bucket,very_low,76341,633,0.00829174362400283,10891.5092441,16.752244504148493,0.7120913596948162,0.11518753793702624
dtd_bucket,15_30,75816,965,0.01272818402448032,20075.9560272,21.40146504548512,1.0930909443703438,0.2211076612871328
dtd_bucket,8_14,45258,562,0.012417694109328737,10671.2799539,20.611023428041452,1.06642620461503,0.11752873688059037
dtd_bucket,31_60,74695,916,0.012263203695026441,20004.7275957,22.491850105539864,1.0531586345876742,0.22032318298459128
dtd_bucket,4_7,35364,409,0.011565433774459902,8034.9217056,19.825205421120348,0.9932344553050416,0.08849305829039597
dtd_bucket,61_120,56013,621,0.01108671201328263,14864.4997079,24.56813851343438,0.9521220373034278,0.16371099648575133
dtd_bucket,0_3,30390,327,0.010760118460019744,6972.3449545,18.951639568538994,0.9240743240652488,0.0767903099851354
dtd_bucket,120_plus,41373,302,0.007299446498924419,8337.5242216,26.931383780342255,0.6268733113493672,0.0918257879756828
dtd_bucket,invalid_or_past,14593,89,0.006098814500102789,1835.9434989,18.959650283149454,0.5237635540651364,0.02022026611071988
stay_bucket,unknown_or_oneway,127698,2342,0.018340146282635594,41708.0334577,16.29492459774233,1.5750438382583731,0.4411000880148974
stay_bucket,30_plus,15128,257,0.016988365943945004,7776.9818853,28.89104068271417,1.4589535268550629,0.08224860080193444
stay_bucket,15_30,31947,465,0.01455535731054559,12479.8336678,29.069769903978464,1.2500077966842305,0.13198550190242958
stay_bucket,9_14,37210,404,0.010857296425692019,11000.8910679,27.195855122421392,0.9324199257680835,0.11634434942166129
stay_bucket,6_8,41854,325,0.007765088163616381,8431.8688607,24.941310865379656,0.6668624163165305,0.08917462148765487
stay_bucket,1_2,25976,132,0.0050816137973514015,2660.4342762,21.77705058370034,0.43640679722958386,0.02813649304707314
stay_bucket,3_5,93849,426,0.004539206597832688,10496.536552,23.60324249943846,0.38982510130070286,0.11101034532434921
route_direction,AREA_B_TO_AREA_D,587,19,0.03236797274275979,377.4218147,18.040185706984666,2.7797475134463596,0.003993730161482872
route_direction,AREA_D_TO_AREA_B,694,18,0.025936599423631124,315.6134134,16.158210578242073,2.2274239516968177,0.0033396978112302596
route_direction,AREA_D_TO_AREA_C,5206,74,0.014214368036880523,1845.5635452000001,22.428193917249327,1.220723785198081,0.01952903226131009
route_direction,AREA_B_TO_AREA_B,25422,331,0.01302021870820549,7981.2175969,24.78693359004799,1.1181707568249781,0.08445412586295155
route_direction,AREA_B_TO_AREA_C,77023,980,0.01272347220959973,22598.6871421,22.090782770158263,1.092686295744301,0.23913047665530165
route_direction,AREA_C_TO_AREA_C,146119,1681,0.011504321819886532,33835.7004283,19.96059751163709,0.9879861870518136,0.3580361602649054
route_direction,AREA_C_TO_AREA_B,111204,1186,0.01066508398978454,26334.543743,24.59297816608935,0.9159128048243784,0.2786618513794909
route_direction,AREA_C_TO_AREA_D,7395,59,0.007978363759296822,1214.8365445,21.826689025936446,0.6851784323204709,0.012854925603327292
origin_area,AREA_D,5912,95,0.016069012178619755,2212.1724981,21.67926522941475,1.3799998227275143,0.02339572026587359
origin_area,AREA_B,103032,1330,0.012908610916996662,30957.3265537,22.732950695338342,1.1085859279399695,0.3274016618738949
origin_area,AREA_C,264718,2926,0.011053271783558352,61385.0807158,21.958720061089537,0.9492502048237144,0.6492026178602315
destination_area,AREA_C,228348,2735,0.01197733284285389,58279.9511156,20.735377961015644,1.028608169323482,0.6163630705021669
destination_area,AREA_B,137320,1535,0.01117826973492572,34631.3747533,24.586256684017624,0.9599849748774568,0.36625803677006835
destination_area,AREA_D,7994,81,0.010132599449587191,1643.2538987,21.540004343082312,0.8701832625905882,0.0173788927277648
is_hub_caj_route,0,68897,1276,0.018520400017417303,27252.6313476,22.097623958133155,1.5905239511165674,0.288221167230425
is_hub_caj_route,1,304765,3075,0.010089741276065165,67301.94842,22.183641990932028,0.8665026211668724,0.7117788327695751
first_booking_class,C,6424,156,0.024283935242839352,3676.2038335,21.824124107596514,2.085493865941126,0.0388791726697482
first_booking_class,P,3197,44,0.01376290272130122,1380.3260966,28.518152000563028,1.1819521389673309,0.014598193974238161
first_booking_class,Y,363820,4151,0.01140948820845473,89498.0498375,22.118776459591558,0.9798419174781915,0.9465226333560136
first_rbd,Z,1422,52,0.03656821378340366,1258.5548387000001,22.852539252742616,3.140462399157476,0.013317379489568971
first_rbd,F,1907,59,0.03093864708966964,1485.884058,22.483061839171473,2.656997643948549,0.015722860275461995
first_rbd,C,546,16,0.029304029304029304,304.6091015,19.929605396337,2.5166173748108935,0.0032232167212056604
first_rbd,D,814,18,0.022113022113022112,406.1102053,20.66162135233415,1.8990567843705053,0.00429724915614586
first_rbd,A,643,11,0.017107309486780714,462.7455992,29.3875440562986,1.469168346920123,0.004896535742566354
first_rbd,V,36000,587,0.016305555555555556,12163.0951103,21.876524813330555,1.4003140657320157,0.12870361177022732
first_rbd,Y,1217,18,0.014790468364831553,437.8258203,23.100062414461792,1.2701990324384482,0.004632847469157268
first_rbd,R,2295,32,0.013943355119825708,867.6921134,27.85818769010893,1.1974493129819153,0.009181471318476535
first_rbd,T,24858,330,0.013275404296403573,6969.3468545,20.832842710041035,1.1400859848776723,0.07374604109557925
first_rbd,W,40877,527,0.01289233554321501,11144.6319743,21.83002690158769,1.1071882058719391,0.1179267590966812
first_rbd,L,50264,642,0.012772560878561197,13193.575916,22.477007811095415,1.0969020094242552,0.1396076292387064
first_rbd,S,32795,414,0.012623875590791278,8734.5677442,21.430071144991615,1.0841329811551943,0.09242469994157099
first_rbd,K,12215,143,0.011706917724109702,2965.7260879,20.348752181604585,1.0053850357679337,0.0313817869195715
first_rbd,Q,18401,199,0.010814629639693495,3965.5243382,20.78228407821314,0.9287557206221905,0.04196113737998156
first_rbd,U,47914,476,0.009934465918103269,10190.4052723,22.283028666237424,0.8531676405171923,0.10782962330342477
first_rbd,E,5067,49,0.00967041641997237,1081.0823092,20.455118586737715,0.8304911837094268,0.011439456532499795
first_rbd,H,8049,73,0.00906944962107094,1677.2973242,20.04553216766058,0.7788804146882577,0.017748296932601507
first_rbd,M,2359,19,0.008054260279779568,481.5372617,21.196922312886816,0.6916963927058132,0.0050953794425444175
first_rbd,O,82691,664,0.008029894426237439,16254.6437254,23.59245103822544,0.6896038637317247,0.1719982731801267
first_rbd,B,1292,10,0.007739938080495356,238.790099,21.73792527143963,0.66470253804506,0.00252675391564147
first_rbd,I,1738,11,0.006329113924050633,221.04563,21.385165134579978,0.5435415690849478,0.002338991078260475
BROWSER_TYPE,apple,126848,1956,0.015420030272452069,40121.8826565,21.761695263036074,1.3242655370409067,0.4247456939972256
BROWSER_TYPE,google,169855,1788,0.010526625651290807,40553.8536158,22.413305892388212,0.9040220625402495,0.42931870485180973
BROWSER_TYPE,other,2875,28,0.009739130434782608,592.3800168,21.342535960243477,0.8363923136110639,0.006271162883854395
BROWSER_TYPE,samsung,13653,131,0.00959496081447301,2795.3440649,21.678620924353623,0.8240110889123452,0.029592588288342055
BROWSER_TYPE,microsoft,36125,280,0.007750865051903114,6458.0251825,22.40009851264775,0.6656409416281823,0.06836714048233067
BROWSER_TYPE,mozilla,20781,142,0.006833164910254559,3474.3002154,22.403191027202734,0.5868292499874832,0.036780279449466755
BROWSER_TYPE,opera,3241,21,0.0064794816414686825,465.16635080000003,23.95856679018821,0.5564550836852381,0.004924430046970743
