driver,best_cr_segment,best_cr,best_cr_lift,highest_revenue_segment,highest_segment_revenue
FLIGHT_TYPE,Multi-City,0.03835227272727273,5.966337893402219,Round-Trip,34870.9734827
MARKET,NEW MERIDIAN,0.028741531513036336,4.47122625039898,UPPER APEX,25484.7571394
route_direction,AREA_B_TO_AREA_D,0.025396825396825397,3.9509012364069718,AREA_C_TO_AREA_B,17874.4524821
first_rbd,D,0.022018348623853212,3.4253226315638425,L,8709.8411286
is_hub_caj_route,0,0.01689181361076998,2.627804311647922,1,27250.6633091
stay_bucket,6_8,0.015628494743905166,2.4312739187706947,6_8,15064.2382695
pax_bucket,4_plus,0.013968458319922755,2.173027470345981,1,18086.0656612
display_position_bucket,6,0.0131978813927238,2.0531513328033104,4,11092.8599269
destination_area,AREA_D,0.01206140350877193,1.8763531776521596,AREA_B,21303.5798965
first_booking_class,C,0.011907248798830166,1.8523718325592016,Y,41595.9696193
has_child_or_infant,1,0.00967842647517952,1.5056412181358914,0,39185.8278669
fare_bucket,very_high,0.009014152738849096,1.4023023210425323,very_high,15948.7844162
dtd_bucket,61_120,0.008423210624832873,1.3103713850916363,31_60,10004.0746422
origin_area,AREA_D,0.00793475865109103,1.234384505754217,AREA_C,35054.7296015
emd_price_bucket,very_high,0.0077813304660309555,1.2105161837658596,very_high,33178.5798684
LAST_TOUCH_CHANNEL,Paid MetaSearches,0.007724493080141615,1.2016741771498514,Paid Search,15599.7875876
FIRST_TOUCH_CHANNEL,Referrals,0.007616974972796518,1.1849479361095447,Direct,20667.0408648
BROWSER_TYPE,google,0.0071747413453754115,1.1161510940610424,google,22263.5012753
LOGIN_STATUS,Logged-Out,0.006666348539797672,1.0370620845981282,Logged-Out,31716.0749942
has_loyalty,0,0.006441265393407566,1.002046634144301,0,39145.263573899996
