driver,segment_value,offers,purchases,conversion_rate,revenue,avg_price,cr_lift_vs_product,revenue_share
MARKET,NEW MERIDIAN,4871,140,0.028741531513036336,3499.2820978,21.328481993143093,4.47122625039898,0.08105466625357735
MARKET,EAST VERTEX,482,11,0.022821576763485476,261.7850977,21.737741821784233,3.5502782116571985,0.0060637876945028165
MARKET,GREAT APEX,441,9,0.02040816326530612,146.157375,19.63770359387755,3.1748313506841734,0.0033854764834684234
MARKET,SOUTH ZENITH,540,11,0.020370370370370372,257.0416752,18.694405880925927,3.1689520333680923,0.005953914721449592
MARKET,NEW APEX,1863,37,0.019860440150295224,780.3788754,18.494491269404186,3.089623853349655,0.018076093189702092
MARKET,LOWER ZENITH,4390,80,0.018223234624145785,1976.9458551,19.80738551113895,2.8349291331849567,0.045792445995499184
MARKET,UPPER AURORA,272,4,0.014705882352941176,86.29988019999999,18.165854789338233,2.2877461203459486,0.001998983732043916
MARKET,SOUTH VERTEX,4774,67,0.014034352744030164,1522.7932388,21.05702400705907,2.1832784508370637,0.03527280576257007
MARKET,GREAT HORIZON,375,5,0.013333333333333334,115.41314440000001,15.9910362112,2.0742231491136605,0.0026733408851202026
MARKET,OLD ZENITH,2445,32,0.013087934560327199,547.8449545,18.413285988834357,2.0360472629336543,0.012689857149162527
MARKET,WEST VERTEX,465,6,0.012903225806451613,154.51393629999998,19.021007478709677,2.0073127249487035,0.003579041411436049
MARKET,NEW HORIZON,1578,20,0.012674271229404309,345.0414781,14.65323383504436,1.971695008663175,0.007992274149208927
MARKET,OLD AURORA,1053,13,0.012345679012345678,325.3388215,14.58774750522317,1.9205769899200555,0.0075358970380220705
MARKET,CENTRAL MERIDIAN,2405,26,0.010810810810810811,768.4669958,29.830919583991683,1.6818025533354002,0.01780017561619814
MARKET,EAST ZENITH,528,4,0.007575757575757576,77.3432706,24.175659565151516,1.178535880178216,0.0017915197489749297
MARKET,WEST MERIDIAN,869,6,0.006904487917146145,93.47519009999999,16.925639737054084,1.074108650289007,0.0021651870654579718
MARKET,UPPER APEX,166685,1092,0.00655127935927048,25484.7571394,21.938462059754624,1.0191611477482003,0.5903092196500019
MARKET,UPPER HORIZON,628,4,0.006369426751592357,107.5088679,17.53815934522293,0.9908709311052517,0.0024902523327321882
MARKET,CENTRAL HORIZON,632,4,0.006329113924050633,88.6246926,20.138807637183543,0.9845995960982564,0.002052833889852756
MARKET,GREAT MERIDIAN,2563,15,0.005852516582130316,304.2634634,16.01157605676941,0.9104569031419694,0.007047723730118683
MARKET,CENTRAL AURORA,864,5,0.005787037037037037,99.13003499999999,18.18233684525463,0.9002704640250261,0.002296171522633748
MARKET,LOWER MERIDIAN,2370,13,0.005485232067510549,238.5742358,19.312794627468353,0.8533196499518223,0.005526149226902511
MARKET,LOWER APEX,740,4,0.005405405405405406,51.8966827,16.473517110405407,0.8409012766677001,0.0012020946520890413
MARKET,NORTH ZENITH,3074,16,0.00520494469746259,395.9393652,17.813556130741706,0.8097162585999975,0.00917123347189299
MARKET,WEST HORIZON,1031,5,0.004849660523763337,131.0409548,15.803481944616877,0.7544458592799443,0.0030353314079884686
MARKET,SOUTH MERIDIAN,5854,27,0.004612230953194397,460.3518305,21.460425846258968,0.7175097159130785,0.010663234039879217
MARKET,GREAT AURORA,676,3,0.004437869822485207,108.22455719999999,20.598294624408283,0.690384923891381,0.0025068300065896995
MARKET,CENTRAL APEX,4315,18,0.004171494785631518,354.94334580000003,15.32155972088065,0.6489458288072865,0.008221633360406894
MARKET,OLD APEX,251,1,0.00398406374501992,22.4776123,16.122276777689244,0.6197877935598586,0.0005206540405242676
MARKET,NORTH HORIZON,8921,34,0.003811231924672122,511.8022246,16.366379830714045,0.5929009113596944,0.011854991207731556
MARKET,OLD HORIZON,274,1,0.0036496350364963502,36.3746624,24.887872113138684,0.5677618108887755,0.0008425545693421428
MARKET,WEST APEX,3749,13,0.0034675913576953854,207.30619430000002,21.5507020967458,0.5394418699348676,0.004801880477669948
MARKET,SOUTH HORIZON,12465,40,0.003208985158443642,851.9118282,20.105967313662255,0.49921134756044766,0.019733027227395752
MARKET,CENTRAL VERTEX,1677,5,0.0029815146094215863,75.7131608,14.972444741502684,0.46382449667121206,0.0017537611453234108
MARKET,UPPER MERIDIAN,10865,31,0.002853198343304188,535.263642,18.164533735112748,0.4438627539520718,0.012398433349303524
MARKET,LOWER VERTEX,21095,58,0.0027494666982697323,1277.8998648,25.67945122948566,0.4277255604951136,0.029600284901859227
MARKET,LOWER HORIZON,384,1,0.0026041666666666665,21.5255014,18.73466848515625,0.40512170881126175,0.000498600079431959
MARKET,UPPER VERTEX,9224,22,0.002385082393755421,407.6460891,23.299132468365134,0.3710394835253187,0.009442398977307326
MARKET,NEW AURORA,5071,12,0.0023663971603234074,302.0864145,17.77539536815224,0.3681326827454731,0.006997296251831592
MARKET,EAST HORIZON,632,1,0.0015822784810126582,11.9876887,15.017804802689872,0.2461498990245641,0.0002776735569107625
MARKET,NEW ZENITH,759,1,0.0013175230566534915,19.174991,20.304457036363633,0.20496276177012454,0.0004441546730106412
MARKET,NORTH MERIDIAN,4452,5,0.0011230907457322552,107.3302668,29.25248834849506,0.17471556175148756,0.002486115354875467
MARKET,EAST MERIDIAN,263,0,0.0,0.0,14.771493761977187,0.0,0.0
FLIGHT_TYPE,Multi-City,704,27,0.03835227272727273,774.6542176,35.132264482812495,5.966337893402219,0.017830815699247538
FLIGHT_TYPE,Round-Trip,205290,1324,0.006449413025476156,34870.9734827,25.78645666192898,1.0033141346728358,0.8026521863519145
FLIGHT_TYPE,One-Way,92383,567,0.006137492828767198,7799.0598936999995,11.473360396214671,0.9547897277211003,0.17951699794883785
fare_bucket,very_high,57798,521,0.009014152738849096,15948.7844162,29.94255412824146,1.4023023210425323,0.3671055150688351
fare_bucket,high,59564,519,0.008713316768517897,12399.9621423,22.960758457692567,1.355502251011504,0.2854195260460917
fare_bucket,mid,58932,392,0.00665173420213127,7559.6997274,20.34607511528711,1.0347885797858822,0.1740074597393133
fare_bucket,low,59830,312,0.005214775196389771,5121.213081,18.810922914049808,0.8112455572331548,0.11787892524073008
fare_bucket,very_low,62253,174,0.0027950460218784637,2415.0282271,15.35076990485599,0.43481618710637665,0.05558857390502979
dtd_bucket,61_120,44876,378,0.008423210624832873,9939.2133185,24.318154672459663,1.3103713850916363,0.23964287006595528
dtd_bucket,120_plus,32148,253,0.007869851934801542,6324.152736399999,26.307611055406245,1.2242871797446715,0.15248069076709198
dtd_bucket,31_60,60191,429,0.0071273113920685815,10004.0746422,22.303475500455217,1.1087725710277618,0.2412067316382603
dtd_bucket,15_30,59184,340,0.005744795890781292,7173.0767438,21.049863734997636,0.893699146769369,0.17294896919940667
dtd_bucket,8_14,34739,171,0.0049224214859379944,3533.6026334,19.819897594363685,0.7657650446870287,0.08519815900967007
dtd_bucket,0_3,23837,100,0.004195158786760079,1637.7982133,17.165256775387004,0.6526271602279,0.03948870517685384
dtd_bucket,4_7,27433,108,0.003936864360441804,2006.2235865,18.73707555337003,0.6124451393511701,0.04837175366464837
dtd_bucket,invalid_or_past,15886,56,0.0035251164547400226,856.9636267,15.068652482815057,0.5483908615307423,0.020662120478113558
stay_bucket,6_8,35768,559,0.015628494743905166,15064.2382695,25.446043640002237,2.4312739187706947,0.3467452317825039
stay_bucket,9_14,30718,264,0.008594309525359724,7229.6153419,27.60304205069015,1.336988682611188,0.16640965195704294
stay_bucket,unknown_or_oneway,100881,644,0.0063837590824833215,9800.9255277,12.68725253747881,0.9931005650438613,0.22559548866576665
stay_bucket,3_5,74889,312,0.004166165925569843,7523.3075047,24.437104073471403,0.648116835439913,0.17316979178229883
stay_bucket,15_30,24865,84,0.0033782425095515785,2410.6077428,29.862970372708627,0.5255421612473782,0.05548682419649672
stay_bucket,30_plus,10737,31,0.00288721244295427,883.4848192999999,31.19108871095278,0.4491542164188563,0.0203358538921112
stay_bucket,1_2,20519,24,0.0011696476436473511,532.5083881,21.09749174811638,0.18195826640696858,0.012257157723779858
route_direction,AREA_B_TO_AREA_D,630,16,0.025396825396825397,255.07363669999998,11.44738281126984,3.9509012364069718,0.00587378633690797
route_direction,AREA_D_TO_AREA_B,550,13,0.023636363636363636,235.3144445,13.824024171272727,3.677031946156034,0.0054187754832806245
route_direction,AREA_C_TO_AREA_D,7560,82,0.010846560846560847,2056.2404605,23.37034223767196,1.6873640697154777,0.047350707342944526
route_direction,AREA_C_TO_AREA_B,92923,716,0.007705304391808271,17874.4524821,27.361287994072512,1.1986890555341903,0.4116094321913502
route_direction,AREA_B_TO_AREA_B,19670,150,0.007625826131164209,3193.8129699,22.02497747852059,1.18632488192825,0.07354650691440151
route_direction,AREA_C_TO_AREA_C,119729,690,0.005763014808442399,15124.0366589,17.609925073992937,0.8965334043267038,0.3482733889524777
