DTD,FARE_YQ_TICKET,stay_length_days,pax_total,ADULTS,TEENAGERS,CHILDREN,INFANTS,has_child_or_infant,has_teenager,is_logged_in,has_loyalty,segment_count,has_connection,travel_span_hours,HOUR_OF_THE_DAY_PL_TIME,emd_price,display_position,is_hub_caj_route,product,MARKET,LANGUAGE,FLIGHT_TYPE,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,LOGIN_STATUS,origin_area,destination_area,route_direction,origin_prefix,destination_prefix,dtd_bucket,fare_bucket,stay_bucket,first_booking_class,first_rbd,actual_sold,predicted_probability,expected_revenue
29.0,270.9819836,,3,2,0,1,0,1,0,0,0,2,1,9.333333333333334,10.0,205.2726259,2,0,BAGGAGE,OLD HORIZON,LANG_02,One-Way,google,Organic Search,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CE,CU,15_30,very_high,unknown_or_oneway,P,A,1,0.68653774,140.92740520598727
73.0,495.4510155,11.319444444444445,5,3,0,2,0,1,0,0,0,2,1,287.8333333333333,10.0,138.7692,3,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid MetaSearches,Paid MetaSearches,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BO,61_120,very_high,9_14,Y,L,1,0.8304786,115.2448521336794
141.0,315.2155227,13.333333333333334,3,2,0,1,0,1,0,0,0,2,1,334.4166666666667,12.0,127.873248,2,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,120_plus,very_high,9_14,Y,O,0,0.87175345,111.47394564484406
53.0,103.3453636,95.20138888888889,2,1,0,1,0,1,0,1,1,2,1,2288.3333333333335,19.0,171.32,4,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Direct,Organic Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BA,31_60,very_high,30_plus,Y,S,0,0.62824154,107.63034046173095
77.0,402.8388499,11.958333333333334,3,2,0,1,0,1,0,0,0,2,1,292.9166666666667,14.0,135.9321408,3,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,microsoft,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CA,61_120,very_high,9_14,Y,L,0,0.78962755,107.33576358243714
184.0,226.4285044,14.847222222222221,2,2,0,0,0,0,0,1,0,4,1,359.25,16.0,131.8418758,1,0,BAGGAGE,NEW APEX,LANG_02,Round-Trip,mozilla,Paid Search,Paid Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BU,120_plus,very_high,15_30,Y,L,0,0.7411254,97.71136357644747
140.0,507.3393386,80.55208333333333,4,1,0,3,0,1,0,0,0,4,1,1936.5,12.0,121.9944022,4,0,BAGGAGE,SOUTH VERTEX,LANG_02,Round-Trip,google,Direct,MetaSearches,Logged-Out,AREA_D,AREA_C,AREA_D_TO_AREA_C,DA,CU,120_plus,very_high,30_plus,Y,T,1,0.7957677,97.07920784214063
202.0,536.1236683999999,16.22222222222222,4,3,1,0,0,0,1,0,0,2,1,409.9166666666667,2.0,119.23872,3,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_D,AREA_C_TO_AREA_D,CA,DA,120_plus,very_high,15_30,Y,L,1,0.80104256,95.51528913391114
11.0,226.095287,3.2118055555555554,6,6,0,0,0,0,0,1,0,4,1,78.91666666666667,11.0,134.2874688,3,0,BAGGAGE,NEW MERIDIAN,LANG_02,Round-Trip,google,Organic Search,Email,Logged-In,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CI,8_14,very_high,3_5,Y,V,1,0.70786417,95.05728701317977
140.0,705.6636536,,8,4,0,4,0,1,0,1,0,4,1,482.0833333333333,17.0,113.276784,3,0,BAGGAGE,UPPER APEX,LANG_09,Multi-City,microsoft,Paid Search,Paid Search,Logged-In,AREA_B,AREA_B,AREA_B_TO_AREA_B,BE,BU,120_plus,very_high,unknown_or_oneway,Y,U,1,0.83067566,94.09626748902798
