DTD,FARE_YQ_TICKET,stay_length_days,pax_total,ADULTS,TEENAGERS,CHILDREN,INFANTS,has_child_or_infant,has_teenager,is_logged_in,has_loyalty,segment_count,has_connection,travel_span_hours,HOUR_OF_THE_DAY_PL_TIME,emd_price,display_position,is_hub_caj_route,product,MARKET,LANGUAGE,FLIGHT_TYPE,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,LOGIN_STATUS,origin_area,destination_area,route_direction,origin_prefix,destination_prefix,dtd_bucket,fare_bucket,stay_bucket,first_booking_class,first_rbd,actual_sold,predicted_probability,expected_revenue
64.0,104.27734440000002,,1,1,0,0,0,0,0,0,0,6,1,380.0833333333333,9.0,170.4634,4,1,PET,UPPER APEX,LANG_02,Multi-City,google,Direct,Direct,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,61_120,very_high,unknown_or_oneway,Y,O,0,0.59244686,100.99050669733286
,490.4283414,,2,2,0,0,0,0,0,1,0,1,0,19.333333333333332,11.0,118.0129254,3,0,PET,EAST ZENITH,LANG_08,One-Way,google,Paid Search,Paid Search,Logged-In,AREA_B,AREA_C,AREA_B_TO_AREA_C,BE,CA,,very_high,unknown_or_oneway,P,A,1,0.7697902,90.84519020997134
143.0,109.0503196,,1,1,0,0,0,0,0,1,0,3,1,883.5833333333334,12.0,170.4634,4,1,PET,UPPER VERTEX,LANG_11,Multi-City,google,Direct,Organic Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,120_plus,very_high,unknown_or_oneway,Y,O,0,0.4907691,83.65816740111113
31.0,646.0335861,,2,1,1,0,0,0,1,0,0,2,1,11.5,17.0,107.7337254,4,0,PET,NEW HORIZON,LANG_02,One-Way,google,Direct,Organic Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,31_60,very_high,unknown_or_oneway,C,F,0,0.77129525,83.09451060787735
23.0,133.0479686,20.73263888888889,2,2,0,0,0,0,0,0,0,2,1,502.6666666666667,20.0,111.2020988,2,1,PET,GREAT MERIDIAN,LANG_02,Round-Trip,mozilla,Direct,Organic Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BE,CA,15_30,very_high,15_30,Y,W,1,0.7106021,79.02044545031727
67.0,88.1205835,,1,1,0,0,0,0,0,0,0,2,1,14.333333333333334,22.0,107.7337254,5,0,PET,NEW HORIZON,LANG_02,One-Way,apple,Direct,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,61_120,high,unknown_or_oneway,Y,S,0,0.7294289,78.58409145045069
15.0,94.2349943,,2,1,0,0,1,1,0,0,0,1,0,15.916666666666666,10.0,114.3561,3,1,PET,LOWER VERTEX,LANG_02,One-Way,mozilla,Direct,Affiliate,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,15_30,high,unknown_or_oneway,Y,V,0,0.6842569,78.2489517717719
16.0,125.4529247,,1,1,0,0,0,0,0,0,0,2,1,14.333333333333334,13.0,107.7337254,5,0,PET,NEW HORIZON,LANG_02,One-Way,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,15_30,very_high,unknown_or_oneway,Y,Q,0,0.6808052,73.3456811462883
8.0,132.7892754,,1,1,0,0,0,0,0,0,0,2,1,16.5,1.0,107.7337254,5,0,PET,EAST ZENITH,LANG_02,One-Way,google,Direct,Direct,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,8_14,very_high,unknown_or_oneway,Y,K,0,0.6792964,73.18312905631248
144.0,176.6129314,,2,2,0,0,0,0,0,1,0,2,1,11.666666666666666,11.0,107.7337254,5,0,PET,NEW HORIZON,LANG_02,One-Way,apple,Direct,Direct,Logged-In,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,120_plus,very_high,unknown_or_oneway,Y,S,0,0.65983504,71.0864870699914
40.0,108.2648174,,1,1,0,0,0,0,0,0,0,1,0,15.916666666666666,20.0,114.3561,3,1,PET,LOWER VERTEX,LANG_09,One-Way,google,Paid Search,Paid Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,31_60,very_high,unknown_or_oneway,Y,V,0,0.6153638,70.37060158283114
3.0,104.7000765,,1,1,0,0,0,0,0,1,1,1,0,16.166666666666668,15.0,114.3561,3,1,PET,UPPER APEX,LANG_09,One-Way,google,Direct,Push Notifications,Logged-In,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,0_3,very_high,unknown_or_oneway,Y,S,1,0.60847455,69.58277678816914
14.0,371.2680003,,3,1,0,2,0,1,0,1,0,1,0,14.916666666666666,15.0,114.3561,2,1,PET,LOWER VERTEX,LANG_02,One-Way,microsoft,MetaSearches,Organic Search,Logged-In,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,8_14,very_high,unknown_or_oneway,Y,K,0,0.5853063,66.93334426528216
17.0,81.3324568,,1,1,0,0,0,0,0,0,0,1,0,16.166666666666668,14.0,100.6359378,3,1,PET,LOWER VERTEX,LANG_02,One-Way,apple,Paid Search,Paid Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,15_30,high,unknown_or_oneway,Y,U,0,0.6631016,66.73185273343695
10.0,241.3504764,,4,2,0,2,0,1,0,0,0,1,0,16.166666666666668,15.0,100.6359378,3,1,PET,LOWER VERTEX,LANG_02,One-Way,microsoft,Paid Search,Paid Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,8_14,very_high,unknown_or_oneway,Y,U,0,0.66179246,66.60010454960006
38.0,202.1426095,,2,2,0,0,0,0,0,0,0,2,1,16.5,13.0,107.7337254,5,0,PET,NEW HORIZON,LANG_02,One-Way,google,MetaSearches,MetaSearches,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,31_60,very_high,unknown_or_oneway,Y,T,0,0.6014542,64.7969014468411
19.0,81.4699411,,1,1,0,0,0,0,0,0,0,1,0,16.166666666666668,13.0,100.6359378,2,1,PET,UPPER APEX,LANG_09,One-Way,mozilla,Direct,Direct,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,15_30,high,unknown_or_oneway,C,I,0,0.64254266,64.66288318939272
36.0,104.655105,,1,1,0,0,0,0,0,0,0,2,1,16.5,20.0,107.7337254,5,0,PET,EAST ZENITH,LANG_02,One-Way,apple,MetaSearches,MetaSearches,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,31_60,very_high,unknown_or_oneway,Y,T,0,0.59230715,63.811455889763295
1.0,164.9130603,,2,2,0,0,0,0,0,0,0,1,0,16.166666666666668,23.0,100.6359378,3,1,PET,LOWER VERTEX,LANG_02,One-Way,apple,MetaSearches,MetaSearches,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BU,CA,0_3,very_high,unknown_or_oneway,Y,W,0,0.6226233,62.658282146566556
8.0,116.2658897,,1,1,0,0,0,0,0,0,0,1,0,20.833333333333332,23.0,106.0830572,5,1,PET,SOUTH ZENITH,LANG_02,One-Way,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,8_14,very_high,unknown_or_oneway,Y,S,0,0.58921206,62.50541666122279
85.0,141.1359858,,1,1,0,0,0,0,0,1,1,1,0,20.833333333333332,20.0,106.0830572,4,1,PET,UPPER AURORA,LANG_02,One-Way,apple,Direct,Direct,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,61_120,very_high,unknown_or_oneway,Y,Q,0,0.58431405,61.985820607538436
115.0,88.3064657,,1,1,0,0,0,0,0,0,0,2,1,19.666666666666668,13.0,107.7337254,5,0,PET,NEW HORIZON,LANG_02,One-Way,google,Paid Search,MetaSearches,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,61_120,high,unknown_or_oneway,Y,S,0,0.5741705,61.857523773380684
