DTD,FARE_YQ_TICKET,stay_length_days,pax_total,ADULTS,TEENAGERS,CHILDREN,INFANTS,has_child_or_infant,has_teenager,is_logged_in,has_loyalty,segment_count,has_connection,travel_span_hours,HOUR_OF_THE_DAY_PL_TIME,emd_price,display_position,is_hub_caj_route,product,MARKET,LANGUAGE,FLIGHT_TYPE,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,LOGIN_STATUS,origin_area,destination_area,route_direction,origin_prefix,destination_prefix,dtd_bucket,fare_bucket,stay_bucket,first_booking_class,first_rbd,actual_sold,predicted_probability,expected_revenue
69.0,164.9687393,9.677083333333334,5,5,0,0,0,0,0,0,0,4,1,235.25,22.0,122.6544125,2,0,SPECIAL EQUIPMENT,OLD AURORA,LANG_02,Round-Trip,google,Organic Search,Organic Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BO,CE,61_120,very_high,9_14,Y,O,1,0.8652292,106.1241779032059
33.0,119.4121815,8.496527777777779,3,3,0,0,0,0,0,0,0,4,1,205.25,21.0,97.8005918,6,0,SPECIAL EQUIPMENT,CENTRAL MERIDIAN,LANG_02,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BI,CE,31_60,very_high,9_14,Y,O,0,0.91026646,89.02459838473538
30.0,96.8219263,6.496527777777778,3,3,0,0,0,0,0,0,0,4,1,157.25,12.0,97.8005918,4,0,SPECIAL EQUIPMENT,CENTRAL MERIDIAN,LANG_02,Round-Trip,google,MetaSearches,MetaSearches,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BI,CE,15_30,high,6_8,Y,O,0,0.8817945,86.24002514618235
74.0,113.43996629999998,5.416666666666667,4,4,0,0,0,0,0,0,0,4,1,131.83333333333334,9.0,97.626702,5,0,SPECIAL EQUIPMENT,SOUTH HORIZON,LANG_02,Round-Trip,google,Direct,Organic Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BI,61_120,very_high,6_8,Y,O,1,0.878337,85.74914705795645
34.0,45.5818275,4.263888888888889,2,2,0,0,0,0,0,0,0,4,1,104.25,19.0,97.626702,5,0,SPECIAL EQUIPMENT,SOUTH VERTEX,LANG_02,Round-Trip,apple,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BI,31_60,mid,3_5,Y,U,0,0.8708567,85.01886776285183
13.0,54.0968598,5.704861111111111,2,2,0,0,0,0,0,1,0,4,1,138.16666666666666,10.0,97.8005918,4,0,SPECIAL EQUIPMENT,CENTRAL MERIDIAN,LANG_02,Round-Trip,apple,Direct,Direct,Logged-In,AREA_B,AREA_C,AREA_B_TO_AREA_C,BI,CE,8_14,high,6_8,Y,V,0,0.8425312,82.40005038303795
27.0,41.2260165,,2,2,0,0,0,0,0,1,1,4,1,-143.66666666666666,20.0,97.8005918,2,0,SPECIAL EQUIPMENT,CENTRAL MERIDIAN,LANG_02,Round-Trip,microsoft,Direct,Paid Search,Logged-In,AREA_B,AREA_C,AREA_B_TO_AREA_C,BI,CE,15_30,mid,unknown_or_oneway,Y,U,0,0.83848155,82.00399135822266
48.0,130.151804,4.53125,2,2,0,0,0,0,0,0,0,2,1,110.91666666666667,19.0,107.075,5,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,31_60,very_high,3_5,Y,T,0,0.7409969,79.34224276989698
71.0,60.330338,7.517361111111111,2,2,0,0,0,0,0,0,0,2,1,182.58333333333334,13.0,96.3675,3,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_02,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,61_120,high,6_8,Y,L,0,0.80012834,77.10636787444354
41.0,27.7208609,16.63888888888889,1,1,0,0,0,0,0,1,0,4,1,400.5833333333333,8.0,97.8005918,6,0,SPECIAL EQUIPMENT,CENTRAL MERIDIAN,LANG_02,Round-Trip,apple,Direct,Direct,Logged-In,AREA_B,AREA_C,AREA_B_TO_AREA_C,BI,CE,31_60,low,15_30,Y,O,0,0.7663323,74.94775522512386
27.0,81.5401823,7.135416666666667,4,2,0,1,1,1,0,0,0,2,1,173.58333333333334,22.0,92.0845,6,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,google,Direct,Paid MetaSearches,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CU,15_30,high,6_8,Y,L,0,0.80473673,74.10377973014117
36.0,65.431391,3.3819444444444446,2,2,0,0,0,0,0,0,0,4,1,83.08333333333333,11.0,97.626702,4,0,SPECIAL EQUIPMENT,SOUTH VERTEX,LANG_02,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BI,31_60,high,3_5,Y,O,0,0.72142404,70.43025007902824
17.0,79.9824552,6.583333333333333,1,1,0,0,0,0,0,0,0,4,1,160.08333333333334,16.0,87.6336064,3,0,SPECIAL EQUIPMENT,LOWER ZENITH,LANG_02,Round-Trip,google,MetaSearches,MetaSearches,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CE,BO,15_30,high,6_8,Y,T,0,0.78280324,68.59987079830513
70.0,34.533829,8.51736111111111,1,1,0,0,0,0,0,0,0,2,1,206.58333333333334,21.0,96.3675,2,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,samsung,Direct,Direct,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,61_120,mid,9_14,Y,U,0,0.70502037,67.94105032280088
341.0,342.3753106,5.541666666666667,4,4,0,0,0,0,0,0,0,4,1,134.66666666666666,15.0,87.6712968,3,0,SPECIAL EQUIPMENT,SOUTH VERTEX,LANG_02,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_B,AREA_B,AREA_B_TO_AREA_B,BA,BE,120_plus,very_high,6_8,C,F,1,0.7688705,67.40787143107538
109.0,78.8046302,8.538194444444445,1,1,0,0,0,0,0,0,0,4,1,205.83333333333334,16.0,85.66,6,0,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,Paid Search,Paid Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BE,CE,61_120,high,9_14,Y,W,0,0.7860287,67.33121700167656
5.0,76.121759,4.583333333333333,1,1,0,0,0,0,0,1,1,4,1,112.08333333333333,12.0,87.6336064,1,0,SPECIAL EQUIPMENT,LOWER ZENITH,LANG_02,Round-Trip,mozilla,Direct,Direct,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CE,BO,4_7,high,3_5,Y,H,0,0.76061785,66.65568548147202
16.0,25.2915433,4.263888888888889,1,1,0,0,0,0,0,0,0,4,1,104.25,18.0,97.626702,5,0,SPECIAL EQUIPMENT,SOUTH VERTEX,LANG_02,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BI,15_30,low,3_5,Y,U,0,0.6698365,65.39393043889903
13.0,62.86758720000001,6.517361111111111,1,1,0,0,0,0,0,1,0,2,1,158.58333333333334,19.0,107.075,4,1,SPECIAL EQUIPMENT,SOUTH MERIDIAN,LANG_04,Round-Trip,apple,Direct,Direct,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,8_14,high,6_8,Y,T,0,0.61047477,65.36658549457789
29.0,26.166131900000003,7.815972222222222,1,1,0,0,0,0,0,1,0,2,1,190.0,18.0,92.0845,6,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,google,Direct,Direct,Logged-In,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CU,15_30,low,6_8,Y,U,0,0.7082797,65.22158469492197
31.0,37.868572799999995,4.329861111111111,1,1,0,0,0,0,0,1,0,4,1,106.0,11.0,87.6336064,3,0,SPECIAL EQUIPMENT,LOWER ZENITH,LANG_02,Round-Trip,apple,Direct,Direct,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CE,BO,31_60,mid,3_5,Y,V,0,0.74159354,64.98851636815071
45.0,64.5358157,7.135416666666667,2,2,0,0,0,0,0,0,0,2,1,173.58333333333334,9.0,96.3675,3,1,SPECIAL EQUIPMENT,NORTH HORIZON,LANG_04,Round-Trip,google,Organic Search,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CU,31_60,high,6_8,Y,L,0,0.67072695,64.63627982988955
123.0,67.76048639999999,6.322916666666667,3,2,1,0,0,0,1,0,0,2,1,152.66666666666666,23.0,85.66,4,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,MetaSearches,MetaSearches,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,120_plus,high,6_8,Y,L,0,0.74841166,64.10894240379334
19.0,211.22428270000003,8.4375,2,2,0,0,0,0,0,0,0,4,1,203.58333333333334,10.0,77.094,4,0,SPECIAL EQUIPMENT,LOWER VERTEX,LANG_02,Round-Trip,apple,Direct,Paid Search,Logged-Out,AREA_C,AREA_D,AREA_C_TO_AREA_D,CE,DA,15_30,very_high,9_14,Y,U,0,0.8176078,63.03265727770328
28.0,168.34459990000002,8.88888888888889,3,3,0,0,0,0,0,0,0,4,1,215.33333333333334,19.0,68.5245736,6,0,SPECIAL EQUIPMENT,NORTH ZENITH,LANG_06,Round-Trip,google,MetaSearches,MetaSearches,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CU,CE,15_30,very_high,9_14,Y,W,1,0.9127783,62.547745027362964
21.0,80.8090742,7.135416666666667,2,2,0,0,0,0,0,0,0,2,1,173.58333333333334,12.0,92.0845,2,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,microsoft,Internal,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CU,15_30,high,6_8,Y,L,0,0.6766908,62.31273552691937
46.0,91.3174147,5.576388888888889,3,1,1,1,0,1,1,0,0,4,1,135.91666666666666,23.0,68.5245736,3,0,SPECIAL EQUIPMENT,NORTH ZENITH,LANG_02,Round-Trip,mozilla,Direct,Email,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CU,CE,31_60,high,6_8,Y,L,0,0.88837546,60.87554966868586
20.0,101.018838,3.517361111111111,2,2,0,0,0,0,0,0,0,2,1,86.58333333333333,11.0,96.3675,4,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,mozilla,Direct,Organic Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,15_30,high,3_5,Y,U,0,0.6262713,60.35220022246242
122.0,244.74218410000003,7.322916666666667,8,7,0,1,0,1,0,1,0,2,1,176.66666666666666,19.0,85.66,2,1,SPECIAL EQUIPMENT,CENTRAL MERIDIAN,LANG_02,Round-Trip,microsoft,MetaSearches,MetaSearches,Logged-In,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,120_plus,very_high,6_8,Y,O,0,0.70063937,60.01676818609238
8.0,143.0012323,8.496527777777779,3,3,0,0,0,0,0,0,0,4,1,205.25,23.0,68.7974007,5,0,SPECIAL EQUIPMENT,CENTRAL MERIDIAN,LANG_02,Round-Trip,apple,Direct,Paid Search,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BI,CE,8_14,very_high,9_14,Y,S,1,0.87140924,59.950690478043235
83.0,127.7755956,6.517361111111111,3,2,1,0,0,0,1,1,1,2,1,158.58333333333334,21.0,72.275625,3,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_02,Round-Trip,apple,Paid Search,Paid Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,61_120,very_high,6_8,Y,L,0,0.82214785,59.42124942809344
30.0,31.9306216,7.385416666666667,2,2,0,0,0,0,0,1,1,2,1,179.25,17.0,85.66,6,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_02,Round-Trip,google,Direct,Email,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BE,15_30,low,6_8,Y,U,0,0.6909232,59.18448250770569
117.0,294.1924172,6.46875,2,2,0,0,0,0,0,1,0,4,1,156.16666666666666,20.0,82.87605,4,0,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,Direct,Direct,Logged-In,AREA_B,AREA_C,AREA_B_TO_AREA_C,BE,CA,61_120,very_high,6_8,Y,L,0,0.7103501,58.87101009230912
34.0,51.9609277,5.263888888888889,2,2,0,0,0,0,0,0,0,4,1,128.25,19.0,69.8574432,4,0,SPECIAL EQUIPMENT,SOUTH VERTEX,LANG_02,Round-Trip,google,Direct,Direct,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BO,31_60,mid,6_8,Y,O,0,0.8417759,58.80431171376343
47.0,254.9310128,92.4375,2,2,0,0,0,0,0,1,0,4,1,2219.5833333333335,13.0,77.094,1,0,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,Direct,Direct,Logged-In,AREA_C,AREA_D,AREA_C_TO_AREA_D,CE,DA,31_60,very_high,30_plus,Y,O,0,0.7619918,58.74499574267864
32.0,267.0647518,4.135416666666667,7,7,0,0,0,0,0,0,0,2,1,101.58333333333333,16.0,92.0845,6,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,Direct,MetaSearches,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CU,31_60,very_high,3_5,Y,O,0,0.6363138,58.5946377517581
114.0,258.496182,,2,2,0,0,0,0,0,1,0,4,1,-316.4166666666667,23.0,76.224551,5,0,SPECIAL EQUIPMENT,NORTH ZENITH,LANG_06,Round-Trip,google,Paid Search,MetaSearches,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CI,BU,61_120,very_high,unknown_or_oneway,Y,W,0,0.76592815,58.38252927280915
36.0,26.2543617,8.26388888888889,1,1,0,0,0,0,0,0,0,4,1,200.25,17.0,69.8574432,6,0,SPECIAL EQUIPMENT,NEW MERIDIAN,LANG_02,Round-Trip,apple,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BO,31_60,low,9_14,Y,O,0,0.8292767,57.93114863629418
26.0,52.2920036,6.461805555555555,2,2,0,0,0,0,0,0,0,2,1,157.41666666666666,22.0,85.66,3,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CU,15_30,mid,6_8,Y,O,0,0.6758984,57.89745464205742
208.0,298.2998142,14.04513888888889,2,2,0,0,0,0,0,0,0,4,1,338.25,10.0,77.094,1,0,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_C,AREA_D,AREA_C_TO_AREA_D,CE,DA,120_plus,very_high,15_30,Y,O,0,0.7484772,57.703102839946744
40.0,64.5079762,3.3784722222222223,2,2,0,0,0,0,0,0,0,4,1,83.83333333333333,16.0,87.2464232,5,0,SPECIAL EQUIPMENT,NORTH HORIZON,LANG_04,Round-Trip,google,MetaSearches,Organic Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CI,CI,31_60,high,3_5,Y,L,0,0.6606173,57.63649582473044
10.0,44.46439279999999,3.71875,1,1,0,0,0,0,0,0,0,4,1,91.91666666666667,22.0,87.2464232,5,0,SPECIAL EQUIPMENT,NEW MERIDIAN,LANG_02,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CI,CI,8_14,mid,3_5,Y,S,0,0.6554605,57.186582156336684
97.0,73.5339704,5.517361111111111,2,2,0,0,0,0,0,0,0,2,1,134.58333333333334,13.0,72.275625,3,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,61_120,high,6_8,Y,U,0,0.7876915,56.930893587693575
40.0,74.7918875,5.701388888888889,2,2,0,0,0,0,0,0,0,4,1,138.91666666666666,13.0,63.9700314,3,0,SPECIAL EQUIPMENT,SOUTH HORIZON,LANG_02,Round-Trip,google,Paid Search,Organic Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CE,CI,31_60,high,6_8,Y,O,0,0.8885328,56.839472226688855
27.0,30.641438599999997,2.3819444444444446,1,1,0,0,0,0,0,1,0,4,1,59.083333333333336,10.0,97.626702,5,0,SPECIAL EQUIPMENT,SOUTH VERTEX,LANG_02,Round-Trip,apple,Direct,Direct,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BI,15_30,low,3_5,Y,L,0,0.5818908,56.808081822908875
81.0,187.05874009999997,8.496527777777779,1,1,0,0,0,0,0,0,0,4,1,206.08333333333334,22.0,76.224551,5,0,SPECIAL EQUIPMENT,NORTH ZENITH,LANG_06,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CI,BU,61_120,very_high,9_14,Y,V,0,0.7443869,56.740558091148145
195.0,223.3207596,8.215277777777779,7,4,1,2,0,1,1,1,1,2,1,201.08333333333334,22.0,77.094,3,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,Direct,Affiliate,Logged-In,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CI,120_plus,very_high,9_14,Y,W,0,0.73569256,56.717482272505755
17.0,45.1976424,21.32638888888889,1,1,0,0,0,0,0,0,0,4,1,513.9166666666666,23.0,87.6336064,3,0,SPECIAL EQUIPMENT,OLD AURORA,LANG_02,Round-Trip,google,Direct,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CE,BO,15_30,mid,15_30,Y,S,0,0.64418626,56.45236500955658
181.0,56.094451,7.0,3,2,0,1,0,1,0,0,0,2,1,170.0,21.0,85.66,3,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,google,Organic Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BE,120_plus,high,6_8,Y,U,0,0.6568214,56.26332367062568
47.0,576.6027297,11.48611111111111,2,2,0,0,0,0,0,0,0,4,1,277.9166666666667,19.0,76.224551,1,0,SPECIAL EQUIPMENT,NORTH ZENITH,LANG_06,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CI,BU,31_60,very_high,9_14,Y,Q,0,0.734581,55.99310641428376
101.0,78.7592304,6.159722222222222,3,2,1,0,0,0,1,1,0,2,1,149.75,19.0,85.66,4,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_02,Round-Trip,google,Direct,Email,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BE,61_120,high,6_8,Y,O,0,0.6498024,55.66207244992256
89.0,123.2501778,14.135416666666666,3,3,0,0,0,0,0,0,0,2,1,341.5833333333333,23.0,96.3675,2,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_02,Round-Trip,opera,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CU,61_120,very_high,15_30,Y,U,0,0.5775792,55.65986358180643
26.0,44.7796216,3.2708333333333335,2,2,0,0,0,0,0,1,1,4,1,81.25,15.0,87.2464232,4,0,SPECIAL EQUIPMENT,NEW MERIDIAN,LANG_02,Round-Trip,google,MetaSearches,MetaSearches,Logged-In,AREA_C,AREA_C,AREA_C_TO_AREA_C,CI,CI,15_30,mid,3_5,Y,U,0,0.6374909,55.61880330554804
81.0,35.6534052,7.15625,2,2,0,0,0,0,0,0,0,2,1,173.66666666666666,11.0,85.66,6,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_02,Round-Trip,google,Email,Email,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BE,61_120,mid,6_8,Y,O,0,0.64502484,55.25282745718956
40.0,45.3582549,6.895833333333333,3,3,0,0,0,0,0,0,0,2,1,167.41666666666666,20.0,85.66,4,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BE,31_60,mid,6_8,Y,O,0,0.6425828,55.043640434741974
54.0,232.5523378,7.857638888888889,7,5,1,1,0,1,1,0,0,4,1,191.33333333333334,14.0,58.518629,6,0,SPECIAL EQUIPMENT,NEW MERIDIAN,LANG_02,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CI,BI,31_60,very_high,6_8,Y,L,0,0.9401765,55.0178390354619
7.0,93.2940192,9.381944444444445,2,2,0,0,0,0,0,0,0,4,1,227.08333333333334,17.0,69.8574432,4,0,SPECIAL EQUIPMENT,SOUTH VERTEX,LANG_02,Round-Trip,microsoft,Direct,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BO,4_7,high,9_14,Y,U,0,0.785522,54.87455738664094
54.0,158.16433719999998,7.857638888888889,4,2,2,0,0,0,1,0,0,4,1,191.33333333333334,15.0,58.518629,6,0,SPECIAL EQUIPMENT,NEW MERIDIAN,LANG_02,Round-Trip,mozilla,Direct,Direct,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CI,BI,31_60,very_high,6_8,Y,L,0,0.93753356,54.86317842141908
93.0,153.8145224,11.21875,3,2,0,1,0,1,0,0,0,2,1,273.25,22.0,77.094,2,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CI,61_120,very_high,9_14,Y,V,0,0.7075453,54.54749585151672
70.0,65.439957,9.322916666666666,1,1,0,0,0,0,0,1,0,2,1,224.66666666666666,18.0,85.66,3,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_02,Round-Trip,apple,Direct,Direct,Logged-In,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CE,61_120,high,9_14,Y,T,0,0.63289154,54.213488953113554
58.0,34.0781178,7.159722222222222,3,2,0,1,0,1,0,0,0,2,1,173.75,21.0,85.66,3,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_02,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BE,31_60,low,6_8,Y,O,0,0.63254166,54.18351829528808
24.0,76.33076940000001,5.899305555555555,3,3,0,0,0,0,0,0,0,2,1,143.5,20.0,85.66,4,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,microsoft,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BE,15_30,high,6_8,Y,V,0,0.631447,54.08975149273872
3.0,226.59297160000003,9.128472222222221,6,5,0,1,0,1,0,0,0,2,1,221.0,11.0,85.66,6,1,SPECIAL EQUIPMENT,UPPER APEX,LANG_09,Round-Trip,microsoft,Paid Search,MetaSearches,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BE,0_3,very_high,9_14,Y,S,0,0.6297278,53.94248170495033
