,MARKET,LANGUAGE,FLIGHT_TYPE,DTD,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,ADULTS,TEENAGERS,CHILDREN,INFANTS,HOUR_OF_THE_DAY_PL_TIME,LOGIN_STATUS,LOYALTY_MEMBERSHIP_PROGRAM,FARE_YQ_TICKET,CALCULATED_DTD,IS_ANOMALY_DTD,TOTAL_PASSENGERS,HAS_CHILDREN_OR_INFANTS,TRIP_MONTH,TRIP_DAY_OF_WEEK,IS_WEEKEND_FLIGHT,TRIP_QUARTER,NUMBER_OF_SEGMENTS,IS_DIRECT_FLIGHT,TOTAL_EMD_SPEND,TOTAL_REVENUE,BOOKING_WINDOW,IS_SOLO_TRAVELER,IS_FAMILY,IS_ADULT_GROUP,ADULT_RATIO,ORIGIN_AIRPORT,DESTINATION_AIRPORT,FLIGHT_TIME_OF_DAY,TARGET_BUSINESS_LOUNGE,TARGET_MEAL,TARGET_PET,TARGET_SPECIAL_EQUIPMENT,TARGET_FAST_TRACK,TARGET_BAGGAGE
0,GREAT MERIDIAN,LANG_03,Round-Trip,85.0,google,Paid Search,Paid Search,3,0,0,0,14.0,Logged-Out,No_Program,67.4812348,86,False,3,0,1,6,1,1,2,0,0.0,67.4812348,Advance (31-90),0,0,1,1.0,CEG,CAJ,Popołudnie (14-17),0,0,0,0,0,0
1,SOUTH MERIDIAN,LANG_09,Round-Trip,9.0,apple,Direct,Direct,1,0,0,0,12.0,Logged-Out,No_Program,23.655009,10,False,1,0,2,3,0,1,2,0,0.0,23.655009,Short (8-14),1,0,0,1.0,CAJ,BIF,Południe (10-13),0,0,0,0,0,0
2,GREAT AURORA,LANG_10,One-Way,27.0,apple,Direct,Direct,1,0,0,0,23.0,Logged-In,No_Program,13.6148004,27,False,1,0,1,5,1,1,2,0,0.0,13.6148004,Medium (15-30),1,0,0,1.0,CEW,BIW,Wieczór (18-23),0,0,0,0,0,0
3,UPPER APEX,LANG_09,Round-Trip,18.0,microsoft,Organic Search,Paid MetaSearches,1,0,0,0,18.0,Logged-Out,No_Program,88.34458439999999,19,False,1,0,11,0,0,4,2,0,0.0,88.34458439999999,Medium (15-30),1,0,0,1.0,BIC,CAJ,Wieczór (18-23),0,0,0,0,0,0
4,NORTH HORIZON,LANG_04,Round-Trip,24.0,apple,Paid Search,Paid Search,1,0,0,0,19.0,Logged-Out,No_Program,33.1833991,25,False,1,0,2,6,1,1,2,0,0.0,33.1833991,Medium (15-30),1,0,0,1.0,CUN,CAJ,Wieczór (18-23),0,0,0,0,0,0
5,UPPER VERTEX,LANG_11,Round-Trip,76.0,apple,Direct,Direct,1,0,0,0,16.0,Logged-In,No_Program,18.2802723,77,False,1,0,1,0,0,1,2,0,0.0,18.2802723,Advance (31-90),1,0,0,1.0,CAJ,BEH,Popołudnie (14-17),0,0,0,0,0,0
6,UPPER APEX,LANG_09,Round-Trip,177.0,google,Paid Search,Paid Search,2,0,1,0,19.0,Logged-In,No_Program,123.4043658,178,False,3,1,8,4,0,3,2,0,0.0,123.4043658,Early Bird (90+),0,1,0,0.6666666666666666,CAJ,CIR,Wieczór (18-23),0,0,0,0,0,0
7,UPPER MERIDIAN,LANG_02,Round-Trip,7.0,apple,Direct,Direct,1,0,0,0,12.0,Logged-Out,No_Program,51.58573689999999,8,False,1,0,10,3,0,4,2,0,0.0,51.58573689999999,Short (8-14),1,0,0,1.0,BAP,CAJ,Południe (10-13),0,0,0,0,0,0
8,UPPER APEX,LANG_09,One-Way,4.0,google,Direct,Partners,2,0,0,0,18.0,Logged-In,No_Program,22.1482496,5,False,2,0,2,4,0,1,1,1,0.0,22.1482496,Last Minute (0-7),0,0,0,1.0,CAJ,BAG,Wieczór (18-23),0,0,0,0,0,0
9,UPPER APEX,LANG_09,Round-Trip,124.0,google,Direct,Direct,1,0,0,0,20.0,Logged-Out,No_Program,51.0636392,125,False,1,0,6,5,1,2,2,0,0.0,51.0636392,Early Bird (90+),1,0,0,1.0,CAJ,BIK,Wieczór (18-23),0,0,0,0,0,0
